bodyId,type,instance,side,predictedNt,status
25209,LPLC2,LPLC2_L,left,acetylcholine,Traced
25286,LPLC2,LPLC2_L,left,acetylcholine,Traced
25524,LPLC2,LPLC2_L,left,acetylcholine,Traced
25572,LPLC2,LPLC2_L,left,acetylcholine,Traced
25575,LPLC2,LPLC2_L,left,acetylcholine,Traced
25854,LPLC2,LPLC2_L,left,acetylcholine,Traced
26416,LPLC2,LPLC2_L,left,acetylcholine,Traced
26528,LPLC2,LPLC2_L,left,acetylcholine,Traced
27023,LPLC2,LPLC2_L,left,acetylcholine,Traced
27355,LPLC2,LPLC2_L,left,acetylcholine,Traced
27399,LPLC2,LPLC2_L,left,acetylcholine,Traced
27716,LPLC2,LPLC2_L,left,acetylcholine,Traced
27796,LPLC2,LPLC2_L,left,acetylcholine,Traced
28011,LPLC2,LPLC2_L,left,acetylcholine,Traced
28188,LPLC2,LPLC2_L,left,acetylcholine,Traced
29319,LPLC2,LPLC2_L,left,acetylcholine,Traced
29702,LPLC2,LPLC2_L,left,acetylcholine,Traced
29753,LPLC2,LPLC2_L,left,acetylcholine,Traced
29815,LPLC2,LPLC2_L,left,acetylcholine,Traced
29955,LPLC2,LPLC2_L,left,acetylcholine,Traced
30512,LPLC2,LPLC2_L,left,acetylcholine,Traced
30893,LPLC2,LPLC2_L,left,acetylcholine,Traced
30895,LPLC2,LPLC2_L,left,acetylcholine,Traced
31105,LPLC2,LPLC2_L,left,acetylcholine,Traced
31563,LPLC2,LPLC2_L,left,acetylcholine,Traced
32223,LPLC2,LPLC2_L,left,acetylcholine,Traced
32237,LPLC2,LPLC2_L,left,acetylcholine,Traced
32737,LPLC2,LPLC2_L,left,acetylcholine,Traced
33303,LPLC2,LPLC2_L,left,acetylcholine,Traced
33406,LPLC2,LPLC2_L,left,acetylcholine,Traced
33965,LPLC2,LPLC2_L,left,acetylcholine,Traced
34051,LPLC2,LPLC2_L,left,acetylcholine,Traced
34407,LPLC2,LPLC2_L,left,acetylcholine,Traced
34655,LPLC2,LPLC2_L,left,acetylcholine,Traced
35294,LPLC2,LPLC2_L,left,acetylcholine,Traced
40811,LPLC2,LPLC2_L,left,acetylcholine,Traced
40841,LPLC2,LPLC2_L,left,acetylcholine,Traced
41097,LPLC2,LPLC2_L,left,acetylcholine,Traced
95241,LPLC2,LPLC2_L,left,acetylcholine,Traced
100103,LPLC2,LPLC2_L,left,acetylcholine,Traced
111903,LPLC2,LPLC2_L,left,acetylcholine,Traced
112292,LPLC2,LPLC2_L,left,acetylcholine,Traced
129687,LPLC2,LPLC2_L,left,acetylcholine,Traced
134521,LPLC2,LPLC2_L,left,acetylcholine,Traced
514670,LPLC2,LPLC2_L,left,acetylcholine,Traced
515971,LPLC2,LPLC2_L,left,acetylcholine,Traced
517078,LPLC2,LPLC2_L,left,acetylcholine,Traced
517079,LPLC2,LPLC2_L,left,acetylcholine,Traced
517819,LPLC2,LPLC2_L,left,acetylcholine,Traced
518731,LPLC2,LPLC2_L,left,acetylcholine,Traced
520764,LPLC2,LPLC2_L,left,acetylcholine,Traced
521115,LPLC2,LPLC2_L,left,acetylcholine,Traced
524366,LPLC2,LPLC2_L,left,acetylcholine,Traced
525844,LPLC2,LPLC2_L,left,acetylcholine,Traced
531014,LPLC2,LPLC2_L,left,acetylcholine,Traced
533895,LPLC2,LPLC2_L,left,acetylcholine,Traced
536444,LPLC2,LPLC2_L,left,acetylcholine,Traced
14465,LPLC2,LPLC2_R,right,acetylcholine,Traced
17551,LPLC2,LPLC2_R,right,acetylcholine,Traced
18672,LPLC2,LPLC2_R,right,acetylcholine,Traced
18929,LPLC2,LPLC2_R,right,acetylcholine,Traced
19034,LPLC2,LPLC2_R,right,acetylcholine,Traced
19146,LPLC2,LPLC2_R,right,acetylcholine,Traced
19229,LPLC2,LPLC2_R,right,acetylcholine,Traced
19249,LPLC2,LPLC2_R,right,acetylcholine,Traced
19549,LPLC2,LPLC2_R,right,acetylcholine,Traced
19589,LPLC2,LPLC2_R,right,acetylcholine,Traced
19608,LPLC2,LPLC2_R,right,acetylcholine,Traced
19842,LPLC2,LPLC2_R,right,acetylcholine,Traced
20047,LPLC2,LPLC2_R,right,acetylcholine,Traced
20103,LPLC2,LPLC2_R,right,acetylcholine,Traced
20162,LPLC2,LPLC2_R,right,acetylcholine,Traced
20182,LPLC2,LPLC2_R,right,acetylcholine,Traced
20269,LPLC2,LPLC2_R,right,acetylcholine,Traced
