body_post,source_type,weight
10010,DNg24,13
10001,LoVP85,13
10001,PS005_e,13
10010,SAD055,13
10001,IN06B008,13
10010,SAD110,12
10001,SAD104,12
10001,AN09B004,12
10001,CB3879,12
10010,IN06B056,12
10001,CL001,12
10001,CB1498,12
10010,DNa10,12
10001,PLP018,12
10010,ICL003m,12
10010,CL204,12
10010,GNG103,12
10001,IN21A034,12
10001,PLP060,11
10010,PVLP022,11
10001,ANXXX109,11
10010,PVLP034,11
10010,WED125,11
10001,IN00A064,11
10001,AVLP263,11
10001,CB1932,11
10010,DNae002,11
10001,AVLP203_b,10
10010,SIP119m,10
10001,PVLP011,10
10001,GFC3,10
10010,WED193,10
10010,AVLP606,10
10001,CB2824,10
10010,CB1076,10
10010,CB2521,10
10010,JO-CA1,10
10001,AN05B099,10
10010,IN00A050,10
10001,IN00A043,10
10001,SAD011,10
10010,IN06B059,10
10001,CB3024,9
10010,IN00A064,9
10010,PS208,9
10001,SIP118m,9
10001,PS306,9
10001,CB3742,9
10010,SAD104,9
10001,AVLP210,9
10010,DNge039,9
10010,MDN,9
10001,IN00A050,9
10010,DNae010,9
10001,ANXXX002,9
10001,WED190,9
10001,DNg40,9
10001,CL204,8
10001,PLP144,8
10001,IN06B059,8
10010,DNg106,8
10010,CL12X,8
10010,DNg56,8
10010,DNp06,8
10001,CB2521,8
10010,GFC1,8
10010,CB3381,8
10010,CB3739,8
10001,IN13A032,8
10010,IN06B016,8
10010,IN21A034,8
10001,CB3201,7
10001,CB2254,7
10001,GFC2,7
10010,LAL047,7
10001,WED117,7
10001,AVLP037,7
10010,PVLP124,7
10010,PVLP094,7
10010,GNG336,7
10010,IN00A022,7
10001,SAD112_c,7
10010,PLP019,7
10010,LoVP85,7
10010,IN06B008,7
10001,AVLP429,7
10010,IN07B007,7
10010,IN06B021,6
10010,AN19B036,6
10010,SAD021_b,6
10010,AVLP085,6
10010,IN27X005,6
10010,SAD021,6
10010,CB1932,6
10010,CB1717,6
10010,GFC2,6
10010,AVLP210,6
10001,"IN21A045,IN21A046",6
10001,IN00A044,6
10001,IN06B013,6
10001,IN21A027,6
10001,CL128a,6
10001,PVLP015,5
10001,GFC4,5
10001,LoVC5,5
10001,CB3381,5
10001,PS182,5
10010,AVLP176_d,5
10001,PS208,5
10010,CL266_a3,5
10010,CL168,5
10001,PVLP018,5
10010,CL128a,5
10001,DNge039,5
10010,CB4163,5
10010,SAD200m,5
10001,ANXXX130,5
10010,CB2940,5
10001,SAD099,5
10010,CB2824,5
10001,SAD110,5
10001,AVLP597,5
10010,SAD099,5
10010,PVLP018,5
10001,DNp11,5
10001,IB114,5
10001,CB1076,5
10010,IN07B044,5
10001,IN06B016,5
10010,IN06B001,5
10001,IN07B007,5
10010,IN00A044,5
10010,ICL005m,5
10001,IN07B055,5
10010,AN09A005,5
10001,IN27X005,5
10010,GNG003,5
10001,CL117,4
10010,CB1542,4
10001,DNg106,4
10001,AN05B102a,4
10001,ANXXX169,4
10001,ICL003m,4
10010,PVLP011,4
10001,CB0115,4
10010,CB3245,4
10001,IN17A040,4
10010,CL236,4
10001,AN17B013,4
10010,CB3692,4
10001,CL168,4
10001,DNge136,4
10001,AN08B014,4
10001,CL251,4
10010,CL118,4
10010,PS005_f,4
10001,DNd03,4
10010,GFC3,4
10010,WED117,4
10001,CB2940,4
10001,AVLP085,4
10001,CB1702,4
10010,AVLP039,4
10001,AVLP039,4
10001,WED193,4
10010,ANXXX130,4
10010,AN08B014,4
10001,AMMC035,3
10001,SAD021_b,3
10010,CB3742,3
10010,PVLP130,3
10001,CB0758,3
10001,SAD051_a,3
10010,IN00A043,3
10001,AVLP606,3
10001,AN17B008,3
10010,CB1065,3
10010,AVLP176_c,3
10001,AVLP603,3
10010,AN09B017e,3
10010,CL365,3
10010,PS088,3
10001,PLP229,3
10010,AN08B102,3
10001,PLP019,3
10001,DNge137,3
10001,OCG02b,3
10010,DNp13,3
10010,AN05B102a,3
10001,DNg24,3
10010,DNg99,3
10010,SAD117,3
10010,IN06B006,3
10001,IN00A059,3
10001,CB3439,3
10010,CB1908,3
10010,SAD112_c,3
10010,IN23B007,3
10010,CB1731,3
10001,SMP065,3
10001,AN17B005,3
10001,WED046,3
10010,"IN21A045,IN21A046",3
10001,AN06A027,3
10010,CB3201,3
10001,CB1542,3
10010,CB3439,3
10010,IN06B072,3
10001,AN02A001,3
10010,CB0758,3
10010,CB2132,3
10001,AN01A086,3
10010,VP1d+VP4_l2PN2,2
10010,DNp32,2
10001,GNG336,2
10010,DNp04,2
10010,JO-A2,2
10010,WED055_a,2
10010,JO-B3,2
10001,GNG290,2
10001,IN21A026,2
10010,DNp02,2
10001,IN18B034,2
10010,PVLP015,2
10001,JO-B1_c,2
10010,WED055_b,2
10010,GFC4,2
10010,IN11A021,2
10001,IN06B001,2
10010,AN09B013,2
10010,AN19A018,2
10010,DNge134,2
10010,AN09B004,2
10010,IN07B058,2
10001,DNpe040,2
10010,PLP017,2
10010,LoVC15,2
10001,IN07B058,2
10010,IN21A027,2
10001,IN08B003,2
10010,AN27X018,2
10010,ANXXX098,2
10010,GNG587,2
10010,ANXXX102,2
10010,GNG342,2
10001,ICL004m_b,2
10010,IN18B034,2
10010,GNG124,2
10010,AVLP107,2
10001,DNg99,2
10010,AVLP109,2
10010,AN05B023d,2
10010,PVLP076,2
10010,AVLP203_c,2
10001,CB0982,2
10010,AVLP261_a,2
10010,AMMC035,2
10001,CL266_a3,2
10001,CL236,2
10001,AVLP266,2
10010,AVLP476,2
10010,CB3682,2
10001,CL118,2
10001,WED118,2
10010,SAD108,2
10001,WED072,2
10001,WED055_a,2
10001,CB4163,2
10001,CB3741,2
10001,AN04B003,2
10001,CB3595,2
10001,TTMn,2
10001,AN02A002,2
10001,AN08B102,2
10001,PVLP028,2
10010,SMP501,2
10001,PS181,2
10010,DNg60,2
10001,LT66,2
10010,PVLP025,2
10010,DNg33,2
10001,CB2228,2
10010,PVLP028,2
10010,DNae004,2
10010,PVLP047,2
10001,CL365,2
10001,CB2789,1
10010,LoVCLo3,1
10001,CL002,1
10010,LoVCLo1,1
10010,TTMn,1
10010,LT66,1
10001,AN09B016,1
10001,AVLP735m,1
10010,LPLC1,1
10001,DNp06,1
10010,LHPV3a1,1
10010,PS181,1
10010,VES098,1
10001,CB1065,1
10010,PVLP048,1
10001,CB3682,1
10001,AN05B023c,1
10001,GFC1,1
10001,CB3673a,1
10010,VES203m,1
10001,DNp05,1
10010,PVLP064,1
10001,CB3245,1
10010,SAD051_a,1
10001,EA27X006,1
10010,SLP469,1
10001,DNpe037,1
10001,DNp30,1
10010,PLP052,1
10001,CB0090,1
10001,DNp02,1
10001,CL264,1
10010,PVLP111,1
10010,WED104,1
10010,PVLP019,1
10001,CB2458,1
10010,PLP034,1
10001,DNpe039,1
10010,SAD112_b,1
10001,CB2478,1
10001,DNp01,1
10010,MeVCMe1,1
10001,AN08B010,1
10010,PVLP201m_a,1
10010,SIP091,1
10001,DNc01,1
10001,DNge140,1
10001,AN08B009,1
10010,PVLP030,1
10001,AN17A012,1
10010,AN09B017f,1
10010,JO-CA2,1
10001,GNG702m,1
10001,WED029,1
10010,CB1074,1
10001,VES099,1
10001,ANXXX254,1
10001,VES019,1
10001,AVLP159,1
10001,ANXXX178,1
10010,CB1695,1
10001,SAD200m,1
10010,CB1833,1
10001,SAD117,1
10001,SAD113,1
10001,SAD112_b,1
10010,CB2228,1
10001,AVLP170,1
10001,SAD106,1
10010,CB2676,1
10001,AVLP203_c,1
10001,AVLP204,1
10001,SAD072,1
10010,CB3552,1
10010,CB3588,1
10001,SAD001,1
10001,PVLP124,1
10001,AVLP451,1
10001,AVLP121,1
10010,AVLP607,1
10001,WED196,1
10010,AVLP121,1
10010,AN09B017d,1
10010,AN17B002,1
10010,AN17B008,1
10010,AN19B019,1
10010,AN09B002,1
10010,AN27X004,1
10010,AN27X013,1
10010,ANXXX109,1
10010,AVLP003,1
10001,AVLP086,1
10010,AVLP095,1
10010,AVLP149,1
10001,WED202,1
10010,AVLP159,1
10010,AVLP201,1
10010,AN05B023c,1
10010,AN05B007,1
10010,AVLP429,1
10001,vMS16,1
10001,WED206,1
10010,AVLP500,1
10010,AVLP502,1
10010,AVLP525,1
10001,WED205,1
10001,PVLP108,1
10001,PVLP076,1
10001,AVLP476,1
10001,IN06B072,1
10010,DNpe055,1
10010,ENXXX226,1
10001,IN18B031,1
10010,GNG284,1
10010,GNG305,1
10001,IN17A087,1
10010,GNG601,1
10010,GNG702m,1
10001,IN11A021,1
10010,IN00A059,1
10001,AN17B007,1
10010,IN01A020,1
10001,AN19A018,1
10001,IN06B035,1
10010,IN05B066,1
10010,IN06B028,1
10010,IN07B002,1
10001,IN00A032,1
10001,IN00A029,1
10010,IN07B080,1
10010,IN08B006,1
10001,IN00A021,1
10001,ICL005m,1
10010,IN13A033,1
10010,DNpe026,1
10010,DNp41,1
10001,PVLP047,1
10001,PLP017,1
10001,PVLP019,1
10010,CL078_c,1
10010,CL117,1
10001,AVLP502,1
10010,CL251,1
10010,CL264,1
10001,AN27X013,1
10001,PS146,1
10010,DNa09,1
10010,DNa15,1
10001,PLP163,1
10010,DNc01,1
10010,DNp36,1
10010,DNd03,1
10001,LoVC15,1
10010,DNg55,1
10001,LT60,1
10001,LT40,1
10010,DNge136,1
10010,DNp01,1
10010,DNp102,1
10001,AN27X004,1
10001,JO-A-unclear,1
10010,DNp30,1
10010,AN09B016,1
