bodyId,type
11036,DNg80
11048,DNge068
11057,DNbe004
11063,DNge032
11065,DNp14
11066,DNa13
11067,DNb06
11072,DNp12
11074,DNg13
11075,DNg99
11078,DNg96
11088,DNp55
11097,DNge067
11098,DNg78
11103,DNge141
11111,DNbe003
11116,pIP10
11121,DNp52
11127,DNge059
11131,DNg70
11133,DNp70
11137,DNp04
11158,DNge026
11159,DNp71
11160,DNd02
11172,DNg32
11173,DNg103
11177,DNp09
11179,DNge051
11182,DNp101
11198,DNg19
11201,DNpe007
11204,DNp49
11215,DNp15
11222,DNg111
11223,DNg79
11232,DNde003
11233,DNa11
11241,DNge143
11246,DNbe006
11251,DNpe043
11256,DNge040
11257,DNp45
11258,DNd05
11259,DNp68
11261,DNp54
11288,MDN
11290,DNp66
11297,DNbe003
11298,DNp49
11302,DNg104
11304,DNge042
11310,DNge048
11314,DNae003
11332,MDN
11334,DNpe045
11352,DNge027
11365,DNbe007
11369,DNc01
11373,DNp102
11374,DNg60
11380,DNp14
11392,DNa08
11410,DNpe023
11411,DNg31
11420,DNge141
11421,DNge048
11424,DNge026
11425,CB0429
11427,DNge101
11438,DNp33
11458,DNge043
11459,DNpe006
11466,DNge149
11475,DNg27
11479,DNb04
11482,DNge065
11486,DNd03
11491,DNde005
11500,DNge043
11502,DNge132
11505,DNp54
11513,DNp07
11527,DNg101
11540,DNge152
11554,DNp63
11563,DNae001
11573,DNpe021
11575,DNge049
11596,DNpe022
11598,DNg31
11600,DNge084
11610,DNae007
11613,DNp45
11614,DNpe032
11625,DNae005
11632,DNpe052
11647,DNpe006
11653,DNg27
11657,DNpe005
11662,DNp24
11674,DNp68
11676,DNg26
11687,DNpe031
11693,DNd03
11704,DNp07
11706,DNg111
11713,DNg101
11724,DNp64
11737,DNge073
11739,DNde007
11742,DNp104
11765,DNge142
11770,DNae010
11797,DNge041
11814,DNa04
11820,DNge123
11821,DNge075
11830,DNa05
11846,DNp102
11851,
11859,DNpe050
11872,DNp22
11876,DNae003
11881,DNge023
11889,DNge065
11916,DNbe005
11931,DNd04
11944,DNpe026
11948,DNge142
11951,DNg38
11955,DNae010
11961,DNp57
11965,DNge053
11970,DNge042
11986,DNge018
12000,DNge099
12027,DNp101
12030,DNg91
12038,DNg38
12039,DNge135
12043,DNg102
12044,DNb08
12069,DNp15
12075,DNb08
12085,DNge136
12089,DNde006
12092,DNge027
12102,DNp38
12133,DNbe005
12134,DNp58
12136,DNg102
12151,DNge138
12169,DNg87
12170,DNge044
12175,DNge099
12177,DNpe050
12179,DNpe031
12188,DNg84
12189,DNb08
12210,DNg68
12214,DNg109
12218,DNpe031
12219,DNg48
12222,DNpe031
12223,DNpe027
12224,DNg14
12238,DNg32
12239,DNbe002
12249,DNg104
12256,DNge056
12266,DNg43
12299,DNg68
12306,DNp22
12307,DNg59
12325,DNp67
12348,MDN
12362,DNpe055
12364,DNge080
12374,DNge140
12378,DNge007
12386,DNg84
12389,DNp60
12393,DNge001
12394,DNge148
12405,DNge150
12407,DNge136
12421,DNpe055
12422,DNge100
12435,DNp67
12443,DNbe002
12447,DNge124
12451,DNge128
12453,DNg50
12465,DNg48
12470,DNge056
12480,DNg26
12484,DNge067
12485,DNge125
12490,DNd04
12492,DNg78
12493,DNge060
12512,DNge010
12516,DNge047
12520,DNge028
12550,DNb08
12581,DNge069
12583,DNg87
12587,DNge004
12590,DNg22
12601,DNge122
12610,DNg102
12619,DNge007
12620,DNp44
12621,DNg56
12622,DNge022
12628,DNpe042
12635,DNg19
12647,DNge125
12665,DNg26
12670,DNg71
12675,DNg103
12687,DNge113
12705,DNge123
12707,DNpe043
12714,DNb07
12743,DNge101
12750,DNge136
12752,DNge080
12753,DNpe003
12762,DNp41
12767,DNb02
12771,DNge135
12775,DNg26
12781,DNge104
12787,DNge033
12788,DNae004
12794,DNg44
12801,DNa05
12818,DNge002
12821,DNg54
12831,DNpe030
12843,DNpe049
12850,DNge070
12860,DNg44
12869,DNge098
12874,DNde001
12885,DNpe020
12886,DNg54
12894,DNge011
12941,DNge137
12944,DNpe001
12982,DNg91
12995,DNde003
13006,DNge076
13008,DNge140
13022,DNge139
13030,DNge006
13034,DNg95
13045,DNge086
13047,DNge133
13065,DNge084
13092,DNp60
13096,DNge018
13104,DNpe030
13130,DNg105
13133,DNge088
13135,DNge122
13176,DNg85
13178,DNge039
13186,DNge028
13188,DNg81
13212,DNp53
13218,DNg95
13229,DNg41
13245,DNp46
13249,DNpe034
13254,"DNp51,DNpe019"
13257,DNp25
13268,DNg52
13277,DNg86
13278,DNge076
13295,DNge033
13317,DNg33
13348,DNg20
13364,DNge022
13366,DNde001
13377,DNg86
13403,DNp21
13410,DNa14
13432,DNg66
13442,DNg33
13443,DNge096
13444,DNg51
13445,DNge046
13492,DNge019
13499,DNge106
13507,DNg51
13508,DNg17
13509,DNa08
13514,DNae008
13525,DNge096
13539,
13568,DNg41
13570,DNge063
13585,DNg34
13586,DNpe049
13615,DNbe006
13622,DNg73
13624,DNg62
13625,DNge137
13627,DNge082
13633,DNg43
13638,DNge002
13649,DNg79
13652,DNge038
13685,DNge008
13700,DNg51
13743,DNg51
13745,DNpe035
13759,DNge010
13795,DNge100
13803,DNg61
13805,DNg97
13815,DNpe026
13826,DNge137
13852,DNge069
13854,DNg89
13857,DNge139
13873,DNa14
13888,DNge172
13891,DNg106
13922,DNb02
13952,DNg63
13964,
13978,DNg79
13994,DNge172
13996,DNge131
14029,DNp65
14046,DNg42
14048,DNg52
14067,DNpe003
14096,DNpe003
14098,DNge044
14114,DNg69
14141,DNg42
14151,DNp24
14152,DNpe041
14154,DNg76
14157,DNge173
14213,DNge060
14214,DNg106
14234,DNg64
14239,DNae004
14247,DNge127
14249,DNge077
14264,DNde003
14265,DNge133
14271,DNae006
14278,DNg73
14306,DNg89
14328,DNpe040
14332,DNae006
14357,DNg05_a
14375,DNpe003
14387,DNge151
14399,DNpe028
14421,DNge131
14432,DNge113
14446,DNpe014
14501,DNp28
14537,DNge078
14554,DNg72
14569,DNg04
14686,DNg11
14793,DNge121
14801,DNge111
14804,DNg63
14832,"DNp51,DNpe019"
14842,DNge184
14846,DNp39
14854,DNg72
14885,DNpe040
14887,DNge072
14936,DNge052
14952,DNg09_b
14964,DNge113
14970,DNge052
14989,DNge127
15014,DNge121
15024,DNp21
15028,DNp41
15047,DNge184
15063,DNg50
15064,DNg05_a
15065,DNge016
15072,DNpe004
15105,DNg55
15148,DNg62
15156,DNge147
15201,DNg72
15254,DNge057
15286,DNg47
15306,DNpe020
15326,DNg109
15347,DNge082
15394,DNge147
15442,DNg46
15448,DNge097
15450,DNge057
15454,DNg58
15457,DNpe004
15483,DNge175
15485,DNge145
15491,DNpe028
15502,DNp41
15503,DNge019
15509,DNge091
15568,DNg11
15575,DNge030
15653,DNge012
15667,DNpe014
15673,DNg20
15681,DNge113
15705,DNge081
15720,DNge124
15760,DNg72
15796,DNg106
15800,DNge072
15811,DNg45
15821,DNge081
15825,DNg21
15833,DNp52
15835,DNp25
15847,DNg107
15857,DNge058
15939,DNp41
15945,DNpe035
15988,DNge064
15995,DNge013
16078,DNge181
16079,DNge068
16098,DNge029
16118,DNge145
16119,DNpe014
16130,DNge034
16191,DNb03
16221,DNg21
16245,DNpe033
16257,DNge091
16307,DNge001
16369,DNg01_b
16399,DNg11
16471,DNg106
16536,DNge075
16623,DNge034
16701,DNpe012_a
16703,DNpe033
16712,DNb03
16731,DNg94
16741,DNge019
16746,DNge064
16829,DNb03
16850,DNg23
16856,DNge134
16864,DNg59
16878,DNge019
16935,DNge097
16942,DNge098
16994,DNg17
17019,DNpe004
17093,DNg45
17101,DNg106
17120,DNg82
17179,DNa07
17198,DNge035
17199,DNg82
17210,DNpe036
17211,DNge174
17331,DNg02_d
17333,DNg106
17367,DNp65
17373,DNg58
17386,DNg12_d
17471,DNg09_b
17555,DNxl114
17727,DNg09_a
17739,DNge105
17967,DNde006
18072,DNp16_a
18110,DNge145
18122,DNg77
18159,DNge174
18183,DNg02_f
18229,DNge021
18265,DNge019
18532,DNg09_a
18556,DNg03
18562,DNg11
18607,DNpe037
18616,DNg12_a
19030,DNge091
19038,DNg106
19084,DNge029
19214,DNge019
19247,DNg106
19268,DNg12_c
19428,DNge144
19441,DNg12_a
19450,DNge091
19455,DNg12_h
19489,DNpe010
19570,DNpe010
19573,DNg08
19631,DNg12_h
19633,DNg11
19664,DNge019
19691,DNge110
19749,DNge091
19773,DNg02_g
19871,DNg06
19946,DNg12_c
19960,DNa07
19962,DNge181
19994,DNge091
20051,DNge183
20054,DNge091
20102,DNge178
20129,DNg12_e
20131,DNpe004
20185,DNg36_a
20234,DNge175
20288,DNg12_c
20289,DNg02_g
20354,DNg57
20408,DNge021
20414,DNp16_a
20418,DNpe053
20473,DNg12_c
20515,DNg08
20531,DNg09_a
20643,DNg57
20743,DNge019
20745,DNpe009
20753,DNp16_b
20774,DNg36_a
20788,DNg12_c
20821,DNg08
20849,DNg02_b
20886,DNge025
20923,DNg110
20962,DNg02_f
21027,DNp17
21031,DNp72
21122,DNg02_a
21146,DNge091
21149,DNg107
21155,DNg106
21278,DNg106
21403,DNge183
21428,DNge091
21578,DNg106
21581,DNge178
21589,DNge111
21624,DNg12_a
21668,DNge019
21712,DNp16_b
21863,DNg106
22012,DNxl114
22024,DNge181
22033,DNg12_c
22080,DNg12_g
22087,DNg83
22128,DNg12_g
22158,DNpe012_b
22190,DNg12_e
22390,DNge008
22393,DNg02_a
22404,DNg02_a
22462,DNg02_g
22474,DNg12_e
22564,DNg12_e
22596,DNg12_e
22627,DNge095
22645,DNge087
22692,DNg110
22757,DNge019
22758,DNg67
23178,DNge111
23220,DNge111
23341,DNg110
23411,DNg02_a
23412,DNge181
23628,DNg12_a
23667,DNge087
23715,DNge093
23819,DNge111
23882,DNge015
23891,DNge120
23892,DNge095
23953,DNge091
23960,DNg12_c
24038,DNg08
24043,DNge090
24058,DNge014
24184,DNg110
24232,DNg36_a
24350,DNge114
24354,DNge090
24374,DNg08
24466,DNpe012_b
24517,DNg53
24540,DNge025
24619,DNg12_c
24657,DNge091
24666,DNge117
24752,DNp72
24880,DNg12_f
24961,DNg12_a
24987,DNpe012_b
25046,DNge115
25180,DNg12_a
25188,DNg08
25205,DNg92_b
25249,DNge092
25283,DNg08
25357,DNg02_d
25461,DNg08
25465,DNg07
25474,DNg07
25504,DNge092
25535,DNp17
25589,DNg07
25634,DNge091
25802,DNge092
25844,DNge058
25848,DNg08
25852,DNg02_a
25861,DNge038
25876,DNge108
25983,DNpe009
25985,DNge074
26049,DNg02_a
26079,DNg02_b
26182,DNg08
26232,DNg08
26385,DNge087
26413,DNg07
26441,DNg12_f
26452,DNg07
26464,DNge115
26512,DNg07
26587,DNg08
26591,DNg07
26636,DNp58
26644,DNge094
26652,DNge094
26672,DNpe012_b
26743,DNge094
26824,DNg08
26984,DNge115
27001,DNge094
27041,DNg08
27113,DNge180
27118,DNg08
27135,DNge015
27143,DNg07
27144,DNge092
27170,DNge017
27254,DNg01_c
27437,DNg07
27490,DNge015
27525,DNge094
27598,DNp17
27607,DNge017
27615,DNge115
27626,DNge093
27715,DNg08
27735,DNge110
27792,DNge093
27800,DNpe012_a
28000,DNg07
28001,DNge094
28152,DNge180
28414,DNge116
28450,DNge153
28519,DNg08
28579,DNg01_a
28602,DNg01_b
28678,DNg110
28687,DNge115
28756,DNg08
28905,DNg02_a
28940,DNg94
28949,DNg07
28961,DNge116
29059,DNge115
29086,DNge023
29158,DNge085
29188,DNge108
29242,DNge153
29310,DNg06
29509,DNg07
29594,DNg08
29609,DNg08
29639,DNg05_b
29685,DNp17
29854,DNpe015
29934,DNpe012_a
30161,DNg36_b
30228,DNg02_a
30465,DNge134
30503,DNpe015
30827,DNg36_b
30929,DNge117
30957,DNpe015
31059,DNpe054
31264,DNpe009
31298,DNge009
31327,DNge108
31338,DNge108
31381,DNg08
31421,DNg07
31609,DNge114
31641,DNg02_a
31769,DNge115
31790,DNg18_b
31825,DNge024
31932,DNge009
31987,DNpe015
32166,DNpe012_a
32263,DNpe008
32288,DNpe015
32413,DNg12_f
32680,DNg36_b
32832,DNg05_c
32961,DNpe008
33007,DNp17
33037,DNp69
33116,DNge089
33333,DNg02_g
33335,DNpe024
33358,DNge116
33424,DNg02_b
33683,DNge115
33788,DNpe014
33829,DNg83
33851,DNg05_c
33876,DNge085
34023,DNp17
34031,DNge114
34162,DNge114
34292,DNge087
34468,DNpe015
34474,DNge089
34569,DNpe008
34590,DNge182
34649,DNge179
34664,DNge154
34830,DNg36_b
34887,DNpe015
35153,DNpe054
35233,DNg53
35345,DNge024
35398,DNp17
35469,DNge009
35519,DNpe015
35630,DNp17
35899,DNpe008
35988,DNg02_a
36102,DNge136
36172,DNg06
36260,DNg18_b
36263,DNge116
36379,DNg12_b
36541,DNge078
36623,DNge085
36631,DNg05_b
36721,DNpe054
37025,DNg03
37071,DNge179
37098,DNpe057
37135,DNg02_b
37163,DNpe008
37212,DNpe008
37310,DNpe041
37406,DNge009
37683,DNge114
37686,DNg12_b
38064,DNg07
38191,DNge085
38416,DNpe008
38465,DNge089
38731,DNge179
38757,DNpe008
38781,DNpe029
38796,DNg92_b
38848,DNge089
39014,DNge126
39071,DNge094
39130,DNge071
39248,DNg03
39283,DNg36_b
39558,DNpe057
39565,DNpe029
39640,DNge126
39735,DNg03
39774,DNpe008
39852,DNge020
39887,DNge085
40001,DNge119
40157,DNg03
40248,DNpe008
40361,DNge024
40447,DNg79
40549,DNg03
40623,DNg18_b
40683,DNge102
40700,DNge094
40701,DNg12_b
40782,DNpe008
40792,DNge094
40934,DNpe008
40959,DNge089
41319,DNge085
41346,DNge094
41705,DNpe008
41951,DNpe008
41969,DNge085
42002,DNge176
42051,DNpe054
42102,DNge108
42125,DNpe008
42178,DNg110
42206,DNge179
42226,DNpe008
42465,DNg06
42780,DNpe054
42792,DNge094
43730,DNg10
44502,DNge071
44650,DNg10
44659,DNg10
44826,DNg10
44836,DNg12_b
44952,DNge071
44980,DNg03
45757,DNg92_b
45906,DNg18_b
45915,DNg10
46011,DNge020
46228,DNg10
46380,DNge024
46578,DNg10
47102,DNg12_b
47285,DNg12_b
47383,DNg18_a
47402,DNg10
47693,DNpe036
48408,DNg12_b
48535,DNge071
48565,DNge071
48618,DNp17
48924,DNg10
48949,DNg10
49210,DNpe011
49310,DNge009
49624,DNg03
49690,DNge085
49928,DNge071
50664,DNge071
51024,DNg03
51188,DNg18_a
52770,DNge020
53514,DNpe008
53821,DNge020
54021,DNpe054
54278,DNg03
55021,DNg12_e
55370,DNge045
55546,DNg01_c
55579,
55763,DNpe011
56057,DNpe011
56214,DNg03
56587,DNg36_b
57776,DNge020
58581,DNpe015
62405,DNg39
63287,DNg12_b
63701,DNd02
63718,DNg10
66284,DNg47
67107,DNg18_b
67982,DNge013
68005,DNg82
69173,DNpe018
69409,DNg06
71633,DNpe015
71953,DNg06
73541,DNg18_b
78641,DNpe057
79892,DNg18_a
79943,DNg05_b
82411,DNg06
83661,DNge046
90235,DNp17
91201,DNge071
92936,DNge083
94838,DNg03
96106,DNbe002
96166,DNge176
97614,DNp17
97980,DNpe029
98227,DNpe009
99955,DNpe011
101889,DNge025
113166,DNpe018
127742,DNge179
144505,DNg65
149920,DNg106
151406,DNge117
152243,DNpe057
153028,DNge074
161406,"DNp51,DNpe019"
165031,DNpe018
169746,DNge114
170107,DNge182
173593,DNpe008
177685,DNg02_e
178516,DNpe029
185977,DNge102
186380,DNge144
188933,DNg92_a
188947,DNg60
197252,DNg92_a
199352,DNge130
203146,DNg06
209655,DNg06
217430,DNg06
217516,DNpe009
218845,DNg06
220203,DNge061
223170,DNge145
224753,DNg05_b
225466,DNg02_c
225781,DNge179
226016,DNge009
228714,DNge061
230783,DNg97
233071,DNg04
237936,DNg09_a
238699,DNg07
238896,DNge071
240034,DNg01_d
242405,DNge046
244400,DNge020
248583,DNge009
256420,DNge050
257825,DNg36_b
258513,DNge093
259442,DNpe015
261604,DNg07
262979,DNg02_b
267327,DNge089
268258,DNge173
274021,DNg01_a
293452,DNg10
295340,DNg02_c
302599,DNg02_c
309831,DNg01_unclear
312712,DNde003
322714,DNg12_b
326964,DNg12_a
351504,DNge094
402239,DNpe048
411306,DNg08
482128,DNg12_b
506334,DNp42
512006,DNg13
512037,DNpe009
512048,DNge061
512071,DNae001
512245,DNc01
512461,DNge172
512614,DNge055
512720,DNge016
512751,DNge105
512879,DNge117
512938,DNd05
513052,DNg15
513056,DNge086
513057,DNge046
513079,DNp44
513296,DNb03
513643,DNpe039
513711,DNa09
513783,DNg01_d
513875,DNge003
514021,DNg04
514025,DNg106
514197,DNge032
514333,DNg61
514485,DNg106
514489,DNg49
515029,DNpe027
515575,DNp26
515785,DNg76
515978,DNg08
516170,DNa13
516215,DNg67
516667,DNg02_e
516680,DNg64
516821,DNge094
516904,DNde007
516930,DNg81
516956,DNge071
517654,DNg23
517830,DNge030
517881,DNg77
518177,DNp08
518309,DNpe007
518563,DNg85
519206,DNp17
519228,DNae005
519268,DNp28
519337,DNge120
519400,DNg04
519410,DNp34
519460,DNa16
519538,DNg24
519570,DNg82
519624,DNa03
519715,DNbe002
519771,DNp71
519773,DNge119
519839,DNge062
519872,DNg09_a
519896,DNa06
520118,DNge148
520300,DNg75
520485,DNpe016
520643,DNp46
520898,DNb04
521190,DNae007
521197,DNp56
521262,DNae002
521298,DNge130
521317,DNp104
521377,DNpe024
521445,DNge063
521624,DNpe023
521776,DNpe048
522345,DNpe037
522432,DNp56
522961,DNp47
522969,DNp53
523039,DNge055
523329,DNa10
523378,DNae008
523435,DNg09_a
523679,DNge051
523769,DNa02
523771,DNge001
523773,DNg52
523998,pIP10
524001,DNp05
524141,DNge091
524146,"DNp51,DNpe019"
524190,DNge012
524225,DNg14
524412,DNa06
524429,DNg65
524470,DNbe001
524968,DNp32
525126,DNg02_c
525407,DNge128
525454,DNg74_b
525595,DNg52
525812,DNge091
525960,DNa13
529488,DNb02
529568,DNp39
530343,DNpe054
531132,DNge073
531434,DNg12_a
531859,DNpe022
531898,DNp04
532050,DNp23
532787,DNg92_b
535963,DNge014
536048,DNp27
539234,DNge004
540462,DNge154
544361,DNg12_d
550221,DNg69
552858,DNg06
555293,DNge146
555457,DNge079
555472,DNae009
555500,DNg29
555726,DNa13
555795,DNge172
555850,DNge077
555871,DNpe017
556286,DNp32
556329,DNge104
556450,DNge045
556793,DNge111
564864,DNp19
564865,DNge070
565022,DNpe008
574147,DNg36_a
575082,DNpe021
575669,DNg71
800099,DNge079
800845,DNp12
800868,DNpe002
801562,DNge088
801976,DNpe032
802893,DNpe016
803433,DNp57
810937,DNg46
812511,DNge019
813443,DNg106
818789,DNg12_f
909558,DNge061
909612,DNg11
923203,DNpe005
924571,DNp64
924718,DNge095
946718,DNge106
142338522,DNpe039
