body_pre,body_post,weight,source_type,descending_type
11231,10091,109,GNG107,DNpe042
20282,11137,109,LC4,DNp04
12156,10417,109,CB3019,DNp103
17375,10259,109,SAD064,DNp11
11315,10558,109,CB2132,DNp35
519389,10010,109,AVLP452,DNp01
80085,10228,109,CL022_b,DNp06
12824,531898,108,LC4,DNp04
10106,10010,108,DNp11,DNp01
25438,10259,108,SAD064,DNp11
17584,10228,108,PVLP123,DNp06
14106,10117,108,CB2664,DNp02
518730,531898,108,LC4,DNp04
10780,10228,108,AVLP396,DNp06
28160,10417,108,CL001,DNp103
23307,10558,108,WED193,DNp35
14016,10449,107,AN08B020,DNpe025
27750,531898,107,LC4,DNp04
10098,10931,107,AVLP442,DNpe045
19550,11137,106,LC4,DNp04
19543,11137,106,LC4,DNp04
15718,10228,106,WED072,DNp06
27829,531898,106,LC4,DNp04
17608,531898,106,LC4,DNp04
34845,531898,106,LC4,DNp04
12242,10197,106,SAD055,DNp02
531898,10234,106,DNp04,DNp35
520034,10417,105,AVLP082,DNp103
11272,10228,105,PVLP062,DNp06
10241,10558,105,AVLP001,DNp35
40741,10091,105,SMP068,DNpe042
78065,10449,105,SIP119m,DNpe025
12041,10001,105,AVLP396,DNp01
512121,10117,105,CB1280,DNp02
11826,10417,104,PVLP151,DNp103
521210,10558,104,PLP017,DNp35
16931,10001,104,SAD073,DNp01
12041,10584,104,AVLP396,DNp06
23524,10223,104,AVLP461,DNpe056
10609,10558,104,PVLP120,DNp35
529200,10417,104,CB3019,DNp103
15018,531898,104,LC4,DNp04
17426,10923,104,PVLP123,DNg40
12275,10283,104,PVLP151,DNp103
20917,11137,104,LC4,DNp04
13036,10223,103,AVLP370_a,DNpe056
12477,10283,103,CB0992,DNp103
11572,10584,103,SAD091,DNp06
16870,10283,102,CB3019,DNp103
10936,10228,102,LT61b,DNp06
513904,10228,102,SAD049,DNp06
11108,10931,102,CL286,DNpe045
521761,10584,102,CL022_a,DNp06
11361,10091,102,CL367,DNpe042
555227,10417,102,CL038,DNp103
46003,10228,102,WED072,DNp06
524788,10228,101,CL022_a,DNp06
511752,10197,101,CB0307,DNp02
530938,10449,101,PVLP149,DNpe025
19954,11137,101,LC4,DNp04
17453,10283,101,CB3450,DNp103
34482,10283,100,AVLP176_c,DNp103
12940,10417,100,AVLP573,DNp103
12071,10601,100,PVLP149,DNpe025
10315,10361,100,SAD073,DNg40
12441,531898,100,CB4176,DNp04
17364,11137,100,LC4,DNp04
512415,10361,99,PVLP123,DNg40
519875,10010,99,JO-B1_a,DNp01
514956,531898,99,LC4,DNp04
527704,12628,99,CL038,DNpe042
16272,10558,99,AVLP455,DNp35
20588,11137,99,LC4,DNp04
11832,12628,99,CL367,DNpe042
10173,10283,99,PVLP151,DNp103
526286,531898,99,LC4,DNp04
11361,12628,99,CL367,DNpe042
20967,531898,99,LC4,DNp04
17608,10259,99,LC4,DNp11
13114,10106,98,SAD064,DNp11
524753,10228,98,PVLP124,DNp06
10547,10449,98,SIP119m,DNpe025
23192,10584,98,,DNp06
531899,10010,98,AVLP452,DNp01
10287,10584,98,AVLP606,DNp06
10778,10931,97,CL286,DNpe045
19924,10117,97,CB2664,DNp02
13274,10923,97,SAD073,DNg40
11472,524001,97,PVLP015,DNp05
10689,10010,97,AN12B001,DNp01
111787,531898,97,LC4,DNp04
10728,10001,97,WED116,DNp01
534040,11020,97,PVLP015,DNp05
16659,10923,97,PVLP011,DNg40
32381,10283,96,AVLP176_c,DNp103
555907,10584,96,WED072,DNp06
10091,10283,96,DNpe042,DNp103
11278,10417,96,PVLP016,DNp103
46189,10732,96,AVLP580,DNpe056
19794,11137,96,LC4,DNp04
18522,10584,95,CB2458,DNp06
11187,10234,95,LoVP54,DNp35
18164,10228,95,AN05B102c,DNp06
