body_pre,body_post,weight,source_type,target_type
536444,10010,36,LPLC2,DNp01
29287,10923,36,LPLC2,DNg40
19608,11677,36,LPLC2,PVLP151
28188,10010,36,LPLC2,DNp01
517819,523564,36,LPLC2,PVLP011
25027,10417,36,LPLC2,DNp103
34681,10283,36,LPLC2,DNp103
35889,10283,36,LPLC2,DNp103
34110,10943,36,LPLC2,AVLP531
100103,10010,36,LPLC2,DNp01
21361,523564,36,LPLC2,PVLP011
21862,10943,35,LPLC2,AVLP531
30512,523564,35,LPLC2,PVLP011
31964,15890,35,LPLC2,PVLP071
20269,23756,35,LPLC2,PVLP111
21562,10943,35,LPLC2,AVLP531
20047,11677,35,LPLC2,PVLP151
33406,10010,35,LPLC2,DNp01
19608,10283,35,LPLC2,DNp103
11498,23056,35,LPLC2,PVLP111
24187,15890,35,LPLC2,PVLP071
18672,21813,35,LPLC2,PVLP111
35632,10923,35,LPLC2,DNg40
26915,10283,35,LPLC2,DNp103
25316,10943,35,LPLC2,AVLP531
22677,10283,35,LPLC2,DNp103
24118,10001,35,LPLC2,DNp01
21318,12951,35,LPLC2,PVLP069
26730,10584,35,LPLC2,DNp06
517078,12427,35,LPLC2,PVLP069
22218,11812,35,LPLC2,LC31b
29391,10283,35,LPLC2,DNp103
37431,12951,35,LPLC2,PVLP069
39620,10283,35,LPLC2,DNp103
31964,10923,34,LPLC2,DNg40
19146,10001,34,LPLC2,DNp01
19146,23756,34,LPLC2,PVLP111
13132,531898,34,LPLC2,DNp04
19146,10283,34,LPLC2,DNp103
50287,10943,34,LPLC2,AVLP531
34372,10943,34,LPLC2,AVLP531
21299,12427,34,LPLC2,PVLP069
518731,25392,34,LPLC2,PVLP111
26416,10417,34,LPLC2,DNp103
28044,10283,34,LPLC2,DNp103
25511,10283,34,LPLC2,DNp103
20749,11677,34,LPLC2,PVLP151
24401,10923,34,LPLC2,DNg40
22218,11137,34,LPLC2,DNp04
19229,10001,34,LPLC2,DNp01
19830,12275,34,LPLC2,PVLP151
21361,10010,34,LPLC2,DNp01
20535,10283,34,LPLC2,DNp103
20162,10943,34,LPLC2,AVLP531
19249,22212,34,LPLC2,PVLP111
520764,523564,34,LPLC2,PVLP011
26393,10923,33,LPLC2,DNg40
14102,531898,33,LPLC2,DNp04
19229,10283,33,LPLC2,DNp103
536444,10417,33,LPLC2,DNp103
19911,523564,33,LPLC2,PVLP011
20799,10417,33,LPLC2,DNp103
18672,13286,33,LPLC2,AVLP479
17551,23147,33,LPLC2,PVLP111
23590,10001,33,LPLC2,DNp01
17775,25392,33,LPLC2,PVLP111
29702,10010,33,LPLC2,DNp01
20103,11677,33,LPLC2,PVLP151
34110,12951,33,LPLC2,PVLP069
17544,10417,33,LPLC2,DNp103
34655,523564,33,LPLC2,PVLP011
34655,10010,33,LPLC2,DNp01
15804,10010,33,LPLC2,DNp01
31988,10923,33,LPLC2,DNg40
24605,10417,33,LPLC2,DNp103
100103,12275,33,LPLC2,PVLP151
39620,11677,33,LPLC2,PVLP151
34051,523564,33,LPLC2,PVLP011
35838,10943,33,LPLC2,AVLP531
32737,10010,33,LPLC2,DNp01
14465,11677,33,LPLC2,PVLP151
14465,11137,33,LPLC2,DNp04
21808,15890,32,LPLC2,PVLP071
37613,10283,32,LPLC2,DNp103
29873,10283,32,LPLC2,DNp103
35680,10943,32,LPLC2,AVLP531
18936,10417,32,LPLC2,DNp103
17059,12275,32,LPLC2,PVLP151
20182,13286,32,LPLC2,AVLP479
21862,10923,32,LPLC2,DNg40
21045,22212,32,LPLC2,PVLP111
19146,12870,32,LPLC2,AVLP500
19146,11677,32,LPLC2,PVLP151
29391,10001,32,LPLC2,DNp01
19830,10449,32,LPLC2,DNpe025
40811,10417,32,LPLC2,DNp103
21769,10943,32,LPLC2,AVLP531
26730,10867,32,LPLC2,PVLP076
20162,11677,32,LPLC2,PVLP151
20162,23147,32,LPLC2,PVLP111
25497,10001,32,LPLC2,DNp01
531014,12275,32,LPLC2,PVLP151
21299,12275,32,LPLC2,PVLP151
21299,531898,32,LPLC2,DNp04
20584,12951,32,LPLC2,PVLP069
20047,10283,32,LPLC2,DNp103
31105,10417,32,LPLC2,DNp103
25253,10001,32,LPLC2,DNp01
20334,10943,32,LPLC2,AVLP531
515971,10417,32,LPLC2,DNp103
19549,10867,32,LPLC2,PVLP076
29216,10943,32,LPLC2,AVLP531
28011,10828,32,LPLC2,AVLP531
30041,10283,32,LPLC2,DNp103
30938,10283,31,LPLC2,DNp103
28741,13122,31,LPLC2,PVLP130
23550,10010,31,LPLC2,DNp01
26416,10158,31,LPLC2,LT56
17774,10147,31,LPLC2,LHAD1g1
35889,10923,31,LPLC2,DNg40
111903,10828,31,LPLC2,AVLP531
19034,21813,31,LPLC2,PVLP111
19034,14862,31,LPLC2,AVLP479
17774,531898,31,LPLC2,DNp04
95241,12275,31,LPLC2,PVLP151
20269,15890,31,LPLC2,PVLP071
21769,11677,31,LPLC2,PVLP151
20471,10923,31,LPLC2,DNg40
14030,25392,31,LPLC2,PVLP111
32507,12951,31,LPLC2,PVLP069
20240,10417,31,LPLC2,DNp103
23497,12870,31,LPLC2,AVLP500
22253,25392,31,LPLC2,PVLP111
17990,25392,31,LPLC2,PVLP111
22253,23056,31,LPLC2,PVLP111
515971,519771,31,LPLC2,DNp71
17990,12275,31,LPLC2,PVLP151
