body_post,LC4,LPLC2,target_type,receives_from_both
38065,109.0,6.0,LC4,True
16549,106.0,1.0,Li30,True
31262,105.0,28.0,LC4,True
21151,105.0,13.0,LC4,True
28945,105.0,11.0,LC4,True
21804,104.0,24.0,LC4,True
30480,104.0,20.0,LC4,True
15414,103.0,55.0,PVLP123,True
11397,103.0,15.0,SAD013,True
17608,101.0,16.0,LC4,True
12556,99.0,10.0,PLP093,True
107513,99.0,5.0,LC4,True
514282,98.0,4.0,,True
30194,95.0,150.0,SAD013,True
10787,95.0,4.0,LT35,True
19634,94.0,27.0,LC4,True
11794,92.0,191.0,LC31b,True
11812,91.0,550.0,LC31b,True
13588,90.0,3.0,Li30,True
10601,88.0,567.0,DNpe025,True
527408,88.0,14.0,LC4,True
25956,88.0,5.0,Li30,True
40842,88.0,1.0,PVLP066,True
22966,87.0,37.0,LC4,True
11509,87.0,7.0,AVLP339,True
13191,86.0,4.0,Li30,True
529031,84.0,383.0,GNG300,True
16415,80.0,1.0,Li30,True
23893,79.0,2.0,LT35,True
521627,71.0,399.0,LC31b,True
11887,71.0,17.0,LT82b,True
18906,71.0,11.0,PLP219,True
12004,71.0,1.0,MeLo8,True
21355,70.0,47.0,MeLo13,True
11125,70.0,2.0,AVLP610,True
48849,70.0,1.0,SAD011,True
11300,68.0,24.0,LT82b,True
521516,68.0,5.0,Li30,True
25818,66.0,3.0,LC14a-1,True
22935,64.0,11.0,LC14a-1,True
13376,64.0,5.0,Li30,True
523479,64.0,4.0,MeLo8,True
23263,64.0,3.0,LC14a-1,True
46101,64.0,3.0,CB0738,True
19301,63.0,36.0,MeLo13,True
10771,63.0,17.0,LT66,True
28415,63.0,7.0,LC14a-1,True
20143,62.0,9.0,CB4102,True
24105,62.0,5.0,LC14a-1,True
575082,61.0,51.0,DNpe021,True
22107,61.0,46.0,MeLo13,True
10263,60.0,250.0,GNG300,True
16482,60.0,101.0,PVLP123,True
514481,60.0,50.0,PVLP123,True
21699,60.0,38.0,MeLo13,True
41852,59.0,15.0,LoVP93,True
13671,58.0,5.0,MeLo8,True
14452,58.0,3.0,MeLo8,True
14586,57.0,150.0,LC31b,True
33474,57.0,30.0,SAD049,True
10115,57.0,1.0,AVLP016,True
14709,57.0,1.0,MeLo8,True
13875,55.0,3.0,MeLo8,True
13673,55.0,1.0,MeLo8,True
18831,55.0,1.0,CB1932,True
20845,54.0,10.0,MeLo13,True
11049,54.0,2.0,Li30,True
39588,53.0,3.0,PVLP068,True
14503,52.0,2.0,AVLP126,True
66151,51.0,22.0,PVLP068,True
513904,51.0,10.0,SAD049,True
31569,51.0,7.0,PVLP064,True
18565,50.0,25.0,MeLo13,True
24881,50.0,20.0,MeLo13,True
22257,50.0,1.0,PVLP046,True
14528,49.0,5.0,MeLo8,True
31006,48.0,6.0,LC23,True
78011,48.0,4.0,CB4102,True
17315,48.0,1.0,Li30,True
522889,48.0,1.0,MeLo8,True
524753,47.0,12.0,PVLP124,True
27809,47.0,2.0,LC14a-1,True
77583,45.0,10.0,LoVP93,True
524037,45.0,4.0,MeLo8,True
12678,44.0,117.0,LC31b,True
540078,44.0,28.0,LoVP93,True
11883,42.0,288.0,PVLP017,True
24363,42.0,8.0,LC14a-1,True
12184,42.0,6.0,PVLP122,True
524005,42.0,2.0,LAL026_b,True
511889,41.0,28.0,MeLo13,True
32152,41.0,14.0,LC14a-1,True
521463,41.0,1.0,CB3201,True
22230,40.0,46.0,MeLo13,True
24644,40.0,29.0,MeLo13,True
524162,40.0,16.0,SAD023,True
12957,40.0,6.0,LT61b,True
14245,40.0,5.0,MeLo8,True
12638,40.0,1.0,MeLo8,True
13900,40.0,1.0,MeLo8,True
10675,39.0,18.0,LT66,True
14118,39.0,3.0,Li30,True
38423,38.0,19.0,CB2940,True
13051,37.0,4.0,MeLo8,True
15986,37.0,2.0,MeLo8,True
25065,36.0,29.0,MeLo13,True
516152,36.0,26.0,PVLP027,True
10386,36.0,1.0,PVLP031,True
18350,36.0,1.0,PVLP046,True
22940,36.0,1.0,LC14a-1,True
21608,35.0,25.0,MeLo13,True
18745,35.0,19.0,LAL300m,True
520188,35.0,6.0,AVLP610,True
17404,35.0,2.0,AVLP202,True
514922,35.0,1.0,,True
524900,34.0,29.0,LoVP93,True
13594,34.0,6.0,MeLo8,True
13405,34.0,2.0,CB4179,True
13813,34.0,2.0,MeLo8,True
25607,34.0,2.0,PVLP046,True
11017,33.0,386.0,PVLP093,True
17616,33.0,30.0,PVLP123,True
25667,33.0,16.0,MeLo13,True
26658,33.0,12.0,MeLo13,True
44218,32.0,13.0,MeLo13,True
29196,32.0,12.0,AOTU034,True
24305,32.0,9.0,LC14a-1,True
12331,32.0,1.0,MeLo8,True
517292,31.0,12.0,MeLo13,True
23541,31.0,6.0,LC14a-1,True
12916,30.0,32.0,AVLP339,True
42084,30.0,31.0,LoVP93,True
513770,30.0,3.0,MeLo8,True
22422,29.0,21.0,MeLo13,True
15073,29.0,5.0,MeLo8,True
521693,29.0,5.0,PVLP122,True
32529,29.0,1.0,LC14a-1,True
27450,28.0,17.0,MeLo13,True
34373,28.0,13.0,MeLo13,True
13849,28.0,6.0,MeLo8,True
23576,28.0,6.0,LC14a-1,True
32167,27.0,20.0,LoVP93,True
49678,27.0,20.0,MeLo13,True
526623,27.0,20.0,MeLo13,True
15468,27.0,4.0,MeLo8,True
18090,27.0,2.0,CB4180,True
26670,26.0,24.0,MeLo13,True
24193,26.0,15.0,MeLo13,True
13524,26.0,5.0,MeLo8,True
79242,25.0,15.0,MeLo13,True
22266,25.0,6.0,AVLP320_b,True
17963,25.0,2.0,AVLP126,True
24709,25.0,1.0,AVLP320_b,True
15173,24.0,190.0,AVLP711m,True
55868,24.0,17.0,LC31b,True
21775,24.0,15.0,MeLo13,True
516980,24.0,15.0,CB0414,True
33592,24.0,11.0,MeLo13,True
40833,24.0,9.0,LC14a-1,True
13271,24.0,8.0,PVLP018,True
15545,24.0,1.0,PVLP100,True
38037,24.0,1.0,PLP018,True
28725,23.0,563.0,PVLP112,True
522346,23.0,34.0,PVLP013,True
24411,23.0,16.0,PVLP124,True
534530,23.0,15.0,MeLo13,True
41154,22.0,19.0,MeLo13,True
37427,22.0,18.0,LC14a-1,True
20775,22.0,11.0,LC14a-1,True
28594,22.0,11.0,MeLo13,True
511769,22.0,10.0,PVLP025,True
35378,22.0,7.0,MeLo13,True
15424,22.0,2.0,PVLP031,True
12145,21.0,42.0,LoVP53,True
19277,21.0,19.0,LC14a-1,True
33966,21.0,15.0,MeLo13,True
31008,21.0,14.0,LC14a-1,True
15095,21.0,5.0,MeLo8,True
68715,21.0,5.0,MeLo13,True
11252,20.0,305.0,PVLP017,True
32273,20.0,25.0,MeLo13,True
36717,20.0,21.0,SAD023,True
18383,20.0,8.0,LC14a-1,True
20276,20.0,6.0,MeLo13,True
22351,20.0,4.0,LC14a-1,True
123245,20.0,2.0,AOTU032,True
37175,19.0,10.0,MeLo13,True
23175,19.0,6.0,LC14a-1,True
177920539,19.0,5.0,UNKNOWN,True
13926,19.0,1.0,MeLo8,True
10051,18.0,27.0,Li39,True
550384,18.0,13.0,SAD014,True
31251,18.0,12.0,MeLo13,True
531901,18.0,5.0,AVLP203_c,True
10266,18.0,4.0,LT87,True
12912,18.0,3.0,MeLo8,True
112648,18.0,3.0,MeLo13,True
10933,18.0,2.0,MeLo8,True
10432,17.0,71.0,LoVCLo3,True
24905,17.0,15.0,MeLo13,True
27501,17.0,14.0,MeLo13,True
10302,17.0,8.0,Li38,True
10345,17.0,5.0,LT40,True
14155,17.0,4.0,CB2940,True
14778,17.0,4.0,MeLo8,True
14979,17.0,3.0,MeLo8,True
13112,17.0,2.0,MeLo8,True
33037,17.0,2.0,DNp69,True
11628,17.0,1.0,LT40,True
15221,17.0,1.0,CB4179,True
10158,16.0,711.0,LT56,True
16445,16.0,173.0,PVLP123,True
11545,16.0,45.0,LoVP53,True
28537,16.0,32.0,MeLo13,True
534644,16.0,23.0,LoVP93,True
10957,16.0,17.0,DNp69,True
104214,16.0,16.0,MeLo13,True
37331,16.0,13.0,MeLo13,True
12586,16.0,10.0,LC14a-1,True
541861,16.0,10.0,MeLo13,True
25258,16.0,8.0,LC14a-1,True
13577,16.0,5.0,MeLo8,True
15138,16.0,5.0,PVLP031,True
30954,16.0,5.0,MeLo13,True
27548,16.0,4.0,LC14a-1,True
28436,16.0,1.0,MeLo13,True
18977,15.0,30.0,CB4163,True
30798,15.0,17.0,MeLo13,True
531808,15.0,17.0,AOTU032,True
514122,15.0,10.0,MeLo13,True
10352,15.0,7.0,Li32,True
25922,15.0,6.0,MeLo13,True
518428,15.0,4.0,CB4179,True
516231,15.0,3.0,MeLo13,True
11894,15.0,2.0,MeLo8,True
13485,15.0,2.0,MeLo8,True
14198,15.0,2.0,MeLo8,True
579933,15.0,2.0,LC23,True
544162716,15.0,1.0,UNKNOWN,True
539413,14.0,990.0,LT56,True
10580,14.0,36.0,DNp70,True
13919,14.0,26.0,CL022_b,True
14861,14.0,24.0,WED060,True
14149,14.0,8.0,PVLP031,True
30840,14.0,7.0,MeLo13,True
526631,14.0,7.0,MeLo13,True
531862,14.0,1.0,LT41,True
575974272,14.0,1.0,UNKNOWN,True
25511,13.0,249.0,LPLC2,True
89545,13.0,46.0,LAL301m,True
27620,13.0,39.0,CB1638,True
20794,13.0,16.0,LC14a-1,True
53844,13.0,12.0,MeLo13,True
530553,13.0,7.0,MeLo13,True
19891,13.0,6.0,MeLo13,True
10398,13.0,2.0,LT1d,True
14380,13.0,1.0,MeLo8,True
17803,13.0,1.0,CB1932,True
34869,13.0,1.0,CB1638,True
37931,13.0,1.0,TmY17,True
11727,12.0,448.0,AVLP258,True
18604,12.0,26.0,AVLP204,True
10611,12.0,20.0,Li39,True
28056,12.0,12.0,MeLo13,True
29257,12.0,11.0,LC14a-1,True
197238745,12.0,10.0,UNKNOWN,True
15168,12.0,9.0,LT74,True
14886,12.0,7.0,Li17,True
53695,12.0,6.0,MeLo13,True
14079,12.0,5.0,MeLo8,True
11085,12.0,3.0,Li38,True
15000,12.0,2.0,PVLP046,True
524668,12.0,2.0,PLP256,True
245251999,12.0,2.0,UNKNOWN,True
581087018,12.0,2.0,UNKNOWN,True
10776,12.0,1.0,LoVC7,True
11047,12.0,1.0,PS001,True
10448,11.0,318.0,PVLP093,True
11435,11.0,96.0,LoVP54,True
80085,11.0,27.0,CL022_b,True
519415,11.0,14.0,SAD014,True
11473,11.0,11.0,LT61a,True
525958,11.0,11.0,PLP060,True
11055,11.0,10.0,LT62,True
18632,11.0,5.0,LC23,True
64167,11.0,5.0,MeLo13,True
99006,11.0,3.0,MeLo13,True
10248,11.0,2.0,LT1a,True
517193,11.0,1.0,LoVC7,True
889050108,11.0,1.0,UNKNOWN,True
95237,10.0,1355.0,PVLP111,True
21562,10.0,265.0,LPLC2,True
31281,10.0,22.0,LC31b,True
21555,10.0,11.0,LC14a-1,True
26634,10.0,9.0,LC14a-1,True
514898,10.0,8.0,MeLo13,True
37228,10.0,7.0,MeLo13,True
16076,10.0,6.0,Li33,True
468460783,10.0,3.0,UNKNOWN,True
519156,10.0,2.0,MeLo13,True
35843,10.0,1.0,Y3,True
10943,9.0,3025.0,AVLP531,True
30041,9.0,183.0,LPLC2,True
10100,9.0,88.0,LoVCLo3,True
11507,9.0,70.0,PLP211,True
19748,9.0,41.0,PVLP028,True
22358,9.0,10.0,LC14a-1,True
11046,9.0,6.0,MeVC23,True
16260,9.0,4.0,Li17,True
17004,9.0,4.0,LoVP50,True
50076,9.0,4.0,CB4162,True
10400,9.0,3.0,LT83,True
10764,9.0,3.0,LT1c,True
13997,9.0,3.0,MeLo8,True
18630,9.0,3.0,LoVP99,True
537029,9.0,3.0,MeLo8,True
37301,9.0,2.0,CB1717,True
21634,9.0,1.0,MeLo12,True
514407,9.0,1.0,Li29,True
11187,8.0,105.0,LoVP54,True
11303,8.0,85.0,PLP211,True
20138,8.0,21.0,CB2254,True
26262,8.0,21.0,LC31b,True
16144,8.0,17.0,LoVP26,True
23195,8.0,11.0,MeLo13,True
15109,8.0,10.0,LT74,True
11518,8.0,9.0,AVLP201,True
10351,8.0,8.0,Li33,True
29575,8.0,8.0,PVLP028,True
955658695,8.0,7.0,Li17,True
10714,8.0,6.0,LT61a,True
475892160,8.0,6.0,UNKNOWN,True
11272,8.0,4.0,PVLP062,True
14903,8.0,4.0,Li17,True
19908,8.0,3.0,TmY19b,True
520330,8.0,3.0,MeLo8,True
523778,8.0,3.0,Li11b,True
533023,8.0,3.0,MeLo13,True
1029957454,8.0,3.0,UNKNOWN,True
10200,8.0,2.0,LT87,True
13907,8.0,2.0,Li11a,True
26155,8.0,2.0,MeLo14,True
16633,8.0,1.0,TmY19b,True
17610,8.0,1.0,LoVP18,True
24720,8.0,1.0,MeLo12,True
37242,8.0,1.0,Li25,True
519899,8.0,1.0,LoVC15,True
943509425,8.0,1.0,UNKNOWN,True
15890,7.0,919.0,PVLP071,True
111903,7.0,217.0,LPLC2,True
10931,7.0,132.0,DNpe045,True
10862,7.0,17.0,LoVP109,True
29719,7.0,15.0,LC31a,True
108855,7.0,15.0,MeLo13,True
41512,7.0,11.0,LoVP93,True
512412,7.0,11.0,SAD014,True
