body_pre,body_post,weight,source_type,target_type
31262,10106,52,LC4,DNp11
16138,10001,52,LC4,DNp01
81112,16475,52,LC4,PVLP024
30087,10010,51,LC4,DNp01
27624,10010,51,LC4,DNp01
518730,10010,51,LC4,DNp01
18478,10017,51,LC4,AMMC-A1
18478,10197,51,LC4,DNp02
21721,10010,51,LC4,DNp01
17987,19454,51,LC4,PVLP024
37587,10010,51,LC4,DNp01
28980,10010,51,LC4,DNp01
34845,10010,51,LC4,DNp01
18189,10117,50,LC4,DNp02
33137,10197,50,LC4,DNp02
514508,10259,50,LC4,DNp11
18478,16475,50,LC4,PVLP024
17478,10020,50,LC4,AMMC-A1
17860,10001,50,LC4,DNp01
31262,10146,50,LC4,AMMC-A1
28980,531898,50,LC4,DNp04
107513,10259,50,LC4,DNp11
20967,10017,49,LC4,AMMC-A1
18189,19454,49,LC4,PVLP024
17364,16459,49,LC4,PVLP024
30087,10259,49,LC4,DNp11
16628,19454,49,LC4,PVLP024
27624,10752,49,LC4,DNp03
516909,10017,49,LC4,AMMC-A1
21225,10117,49,LC4,DNp02
19543,10001,49,LC4,DNp01
20588,19454,49,LC4,PVLP024
524899,10257,49,LC4,AMMC-A1
21225,10146,48,LC4,AMMC-A1
512366,10259,48,LC4,DNp11
17653,10752,48,LC4,DNp03
17653,10020,48,LC4,AMMC-A1
16128,532199,48,LC4,AMMC-A1
26112,10106,48,LC4,DNp11
21804,10001,48,LC4,DNp01
533129,16475,48,LC4,PVLP024
19794,10146,48,LC4,AMMC-A1
17926,10001,48,LC4,DNp01
29417,10259,48,LC4,DNp11
17364,10001,48,LC4,DNp01
27624,10257,47,LC4,AMMC-A1
18127,531985,47,LC4,PVLP010
17270,10197,47,LC4,DNp02
519931,531898,47,LC4,DNp04
18189,10146,47,LC4,AMMC-A1
518544,10010,47,LC4,DNp01
20542,10001,47,LC4,DNp01
22328,10001,47,LC4,DNp01
21804,16459,47,LC4,PVLP024
516909,10010,47,LC4,DNp01
22034,10106,47,LC4,DNp11
527408,10001,47,LC4,DNp01
17266,10001,47,LC4,DNp01
21225,531985,47,LC4,PVLP010
17608,16475,46,LC4,PVLP024
17548,530085,46,LC4,PVLP022
17608,10010,46,LC4,DNp01
518983,10010,46,LC4,DNp01
20282,19454,46,LC4,PVLP024
519650,10010,46,LC4,DNp01
16628,10277,46,LC4,AMMC-A1
18189,10001,46,LC4,DNp01
14888,16475,46,LC4,PVLP024
512366,10145,46,LC4,PVLP130
19260,16459,46,LC4,PVLP024
20016,10001,46,LC4,DNp01
30480,16459,46,LC4,PVLP024
12349,16475,46,LC4,PVLP024
37587,10020,46,LC4,AMMC-A1
37587,16475,46,LC4,PVLP024
17364,10146,46,LC4,AMMC-A1
532254,16475,46,LC4,PVLP024
21287,10106,46,LC4,DNp11
30480,10001,45,LC4,DNp01
17987,10117,45,LC4,DNp02
30803,10146,45,LC4,AMMC-A1
19420,10001,45,LC4,DNp01
15018,16475,45,LC4,PVLP024
519931,10197,45,LC4,DNp02
31429,10010,45,LC4,DNp01
20917,10146,45,LC4,AMMC-A1
20917,16459,45,LC4,PVLP024
27750,16475,45,LC4,PVLP024
22847,19454,45,LC4,PVLP024
20440,10010,45,LC4,DNp01
19794,10001,44,LC4,DNp01
16128,531985,44,LC4,PVLP010
17608,10752,44,LC4,DNp03
17340,10752,44,LC4,DNp03
17548,10146,44,LC4,AMMC-A1
12032,10197,44,LC4,DNp02
12032,16475,44,LC4,PVLP024
520449,10197,44,LC4,DNp02
17860,10117,44,LC4,DNp02
20859,10197,44,LC4,DNp02
527408,10146,44,LC4,AMMC-A1
17364,12215,44,LC4,PVLP122
17653,10074,44,LC4,PVLP010
77614,10197,44,LC4,DNp02
22847,16459,44,LC4,PVLP024
533129,10020,44,LC4,AMMC-A1
37587,10259,44,LC4,DNp11
20673,10001,44,LC4,DNp01
533129,10197,44,LC4,DNp02
21804,10106,44,LC4,DNp11
12349,10020,44,LC4,AMMC-A1
21165,10117,44,LC4,DNp02
518016,10197,44,LC4,DNp02
518439,11927,43,LC4,PVLP122
22966,19454,43,LC4,PVLP024
32597,10020,43,LC4,AMMC-A1
17364,19454,43,LC4,PVLP024
31308,10010,43,LC4,DNp01
21721,10197,43,LC4,DNp02
20282,10146,43,LC4,AMMC-A1
518730,10197,43,LC4,DNp02
