body_pre,body_post,weight,source_type,descending_type
107513,10010,39,LC4,DNp01
17987,10001,39,LC4,DNp01
24568,10010,39,LPLC2,DNp01
41097,10010,39,LPLC2,DNp01
19954,10001,38,LC4,DNp01
20967,10010,38,LC4,DNp01
26528,10010,38,LPLC2,DNp01
35889,10001,38,LPLC2,DNp01
21808,10001,38,LPLC2,DNp01
18900,10010,38,LPLC2,DNp01
17990,10010,38,LPLC2,DNp01
24840,10010,38,LPLC2,DNp01
519931,10010,37,LC4,DNp01
17054,10001,37,LC4,DNp01
19260,10001,37,LC4,DNp01
514670,10010,37,LPLC2,DNp01
20535,10001,37,LPLC2,DNp01
17551,10001,37,LPLC2,DNp01
22261,10001,37,LPLC2,DNp01
38065,10001,36,LC4,DNp01
31262,10001,36,LC4,DNp01
18672,10001,36,LPLC2,DNp01
20329,10010,36,LPLC2,DNp01
26393,10001,36,LPLC2,DNp01
536444,10010,36,LPLC2,DNp01
28188,10010,36,LPLC2,DNp01
100103,10010,36,LPLC2,DNp01
20282,10001,35,LC4,DNp01
17548,10001,35,LC4,DNp01
33406,10010,35,LPLC2,DNp01
24118,10001,35,LPLC2,DNp01
532254,10010,34,LC4,DNp01
19146,10001,34,LPLC2,DNp01
19229,10001,34,LPLC2,DNp01
21361,10010,34,LPLC2,DNp01
17340,10010,33,LC4,DNp01
23590,10001,33,LPLC2,DNp01
29702,10010,33,LPLC2,DNp01
34655,10010,33,LPLC2,DNp01
15804,10010,33,LPLC2,DNp01
32737,10010,33,LPLC2,DNp01
535341,10010,32,LC4,DNp01
526286,10010,32,LC4,DNp01
23098,10001,32,LC4,DNp01
29391,10001,32,LPLC2,DNp01
25497,10001,32,LPLC2,DNp01
25253,10001,32,LPLC2,DNp01
21165,10001,31,LC4,DNp01
23550,10010,31,LPLC2,DNp01
23247,10010,31,LPLC2,DNp01
29014,10001,31,LPLC2,DNp01
25584,10001,30,LC4,DNp01
111787,10010,30,LC4,DNp01
21862,10001,30,LPLC2,DNp01
25572,10010,30,LPLC2,DNp01
27355,10010,30,LPLC2,DNp01
27716,10010,30,LPLC2,DNp01
29955,10010,29,LPLC2,DNp01
29753,10010,29,LPLC2,DNp01
27796,10010,29,LPLC2,DNp01
24268,10001,29,LPLC2,DNp01
29287,10001,29,LPLC2,DNp01
28741,10001,28,LPLC2,DNp01
19034,10001,28,LPLC2,DNp01
25209,10010,28,LPLC2,DNp01
525844,10010,27,LPLC2,DNp01
29815,10010,27,LPLC2,DNp01
28011,10010,27,LPLC2,DNp01
24308,10010,27,LPLC2,DNp01
30895,10010,27,LPLC2,DNp01
21045,10001,27,LPLC2,DNp01
14102,10010,27,LPLC2,DNp01
28003,10001,25,LPLC2,DNp01
27399,10010,25,LPLC2,DNp01
33303,10010,24,LPLC2,DNp01
31988,10001,24,LPLC2,DNp01
25575,10010,24,LPLC2,DNp01
30938,10001,23,LPLC2,DNp01
531014,10010,23,LPLC2,DNp01
40841,10010,23,LPLC2,DNp01
129687,10010,22,LPLC2,DNp01
19550,10001,21,LC4,DNp01
14465,10001,21,LPLC2,DNp01
35680,10001,21,LPLC2,DNp01
39620,10001,21,LPLC2,DNp01
37431,10001,21,LPLC2,DNp01
112292,10010,21,LPLC2,DNp01
25511,10001,21,LPLC2,DNp01
33396,10001,21,LPLC2,DNp01
26915,10001,21,LPLC2,DNp01
33439,10001,21,LPLC2,DNp01
33965,10010,20,LPLC2,DNp01
25636,10001,20,LPLC2,DNp01
524366,10010,20,LPLC2,DNp01
19589,10001,20,LPLC2,DNp01
12384,10010,20,LPLC2,DNp01
25027,10010,20,LPLC2,DNp01
34681,10001,19,LPLC2,DNp01
17774,10010,19,LPLC2,DNp01
31257,10001,19,LPLC2,DNp01
32507,10001,19,LPLC2,DNp01
32237,10010,19,LPLC2,DNp01
20694,10001,19,LPLC2,DNp01
30512,10010,18,LPLC2,DNp01
29986,10001,18,LPLC2,DNp01
134521,10010,18,LPLC2,DNp01
40811,10010,17,LPLC2,DNp01
27471,10001,17,LPLC2,DNp01
29319,10010,17,LPLC2,DNp01
29216,10001,17,LPLC2,DNp01
50287,10001,17,LPLC2,DNp01
