body_post,source_type,weight
10228,WED191,4
10584,SAD097,4
10584,WED191,4
10228,OA-VUMa4,4
10228,PVLP022,4
10584,PVLP014,4
10584,OA-VUMa4,4
10228,PVLP013,4
10228,IN11A032_c,4
10228,AVLP186,3
10228,DNd03,3
10584,AVLP448,3
10584,CL365,3
10228,DNd04,3
10584,AVLP455,3
10584,CB3561,3
10228,WED117,3
10228,DNde006,3
10584,CB1557,3
10228,PVLP068,3
10228,WED104,3
10228,WED106,3
10584,IN11A016,3
10228,DNpe031,3
10228,CL319,3
10228,CB1695,3
10228,PVLP109,3
10228,CB1557,3
10228,ANXXX144,3
10228,CB1542,3
10584,CB0218,3
10228,IN18B032,3
10584,CB4179,3
10584,AVLP761m,3
10228,"IN17A071,IN17A081",3
10584,AVLP731m,3
10584,CB4245,3
10228,AVLP004_a,3
10584,PVLP133,3
10584,SAD112_b,3
10228,SAD100,3
10228,SAD112_b,3
10228,AVLP121,3
10584,PVLP088,3
10584,SCL001m,3
10228,SIP119m,3
10584,CB1109,3
10228,IN07B066,3
10228,CB0280,3
10228,WED015,3
10228,PVLP047,3
10228,AVLP243,3
10228,LHAV2g2_a,3
10228,AVLP363,3
10228,DNp35,3
10584,CB3384,3
10584,WED187,3
10584,AN08B010,3
10584,DNge133,3
10584,IN00A029,3
10584,AVLP194_c2,3
10228,AVLP349,3
10228,DNp01,3
10228,LoVC18,3
10584,WED111,3
10228,DNp10,3
10228,PLP165,3
10228,LoVP108,3
10228,GNG601,3
10228,DNp29,3
10584,LT1c,3
10228,GNG575,3
10584,AN18B001,3
10228,PLP054,3
10228,CB2599,3
10584,OA-ASM2,3
10584,CB3407,3
10584,AVLP212,3
10228,MeVP26,3
10584,SAD099,3
10584,PPM1203,3
10228,LPT114,3
10584,CB1883,3
10584,AVLP039,3
10584,DNp11,3
10584,DNp27,3
10584,PLP054,3
10584,DNp59,3
10584,AN01A033,3
10584,AN01A089,3
10584,AN02A002,3
10584,IN11A032_c,3
10228,DNg40,3
10584,IN08B003,3
10584,GNG103,3
10584,OA-ASM3,3
10584,AN18B053,3
10584,WED127,2
10228,CB2664,2
10584,WED185,2
10228,CB2869,2
10228,AMMC019,2
10228,AN08B023,2
10584,CB3302,2
10228,CB1955,2
10228,AN05B023d,2
10584,CB3364,2
10228,CB2086,2
10584,SLP278,2
10584,WED061,2
10584,WED045,2
10584,VP1d+VP4_l2PN2,2
10584,VES099,2
10584,SAD100,2
10228,AVLP158,2
10228,CB1852,2
10584,DNp45,2
10584,EA06B010,2
10584,GFC3,2
10584,GNG340,2
10584,GNG342,2
10584,GNG464,2
10584,GNG603,2
10584,GNG701m,2
10228,AVLP342,2
10584,IN00A002,2
10228,AVLP524_b,2
10584,IN00A051,2
10584,IN01A050,2
10584,IN05B032,2
10584,IN07B007,2
10228,AVLP517,2
10584,JO-A1,2
10584,IN07B055,2
10584,IN18B038,2
10584,IN17A013,2
10584,IN12B015,2
10584,IN11A025,2
10228,AVLP521,2
10584,IN10B032,2
10584,PLP019,2
10584,PLP165,2
10228,AN08B099_e,2
10584,PLP182,2
10228,AN17B012,2
10584,PVLP134,2
10228,AVLP036,2
10584,PVLP109,2
10584,CL117,2
10228,CB0540,2
10228,AVLP145,2
10228,AVLP149,2
10584,CL203,2
10228,CB0466,2
10228,AVLP761m,2
10228,AVLP731m,2
10584,PVLP047,2
10584,PVLP028,2
10228,AVLP182,2
10584,DNg84,2
10584,DNge119,2
10584,DNge120,2
10584,DNge124,2
10584,DNge129,2
10584,DNge138,2
10584,PVLP012,2
10228,AVLP262,2
10584,LAL016,2
10228,CB3184,2
10228,IN11A032_b,2
10228,WED187,2
10228,DNc01,2
10584,AVLP491,2
10228,WED119,2
10584,AVLP136,2
10228,IN05B043,2
10228,PVLP120,2
10228,WED127,2
10228,PVLP111,2
10584,AVLP094,2
10228,DNp62,2
10584,AVLP435_a,2
10228,DNp70,2
10228,DNpe023,2
10584,AVLP029,2
10228,LAL136_b,2
10228,PVLP021,2
10228,CL256,2
10584,AVLP593,2
10584,AVLP005,2
10228,GNG340,2
10228,IN21A034,2
10228,DNg09_b,2
10584,AVLP705m,2
10228,IN11A032_a,2
10584,AVLP229,2
10584,AVLP235,2
10584,AVLP252,2
10228,DNge133,2
10584,AVLP203_b,2
10228,SLP278,2
10228,IN07B058,2
10228,IN11A012,2
10228,IN11A016,2
10584,AVLP189_b,2
10228,DNp27,2
10228,IN11A032_e,2
10584,AVLP186,2
10228,IN20A.22A003,2
10584,AVLP182,2
10584,AVLP342,2
10228,IN06B028,2
10584,AVLP346,2
10584,AVLP349,2
10228,DNp11,2
10228,LT77,2
10584,AVLP036,2
10228,DNge119,2
10228,LT79,2
10228,GNG587,2
10228,CL122_b,2
10228,GNG346,2
10584,CB0440,2
10584,AN05B005,2
10584,AN07B070,2
10584,CB0466,2
10228,LoVP109,2
10228,CB4173,2
10584,CB1695,2
10584,CB1688,2
10584,CB1301,2
10584,CB1649,2
10228,CB3879,2
10584,CB1463,2
10228,OA-VUMa8,2
10228,CB3660,2
10228,CB3739,2
10228,GNG603,2
10584,AN09A005,2
10584,AN08B098,2
10584,AVLP711m,2
10228,CB3433,2
10584,5-HTPMPV03,2
10228,CB3561,2
10228,WED056,1
10228,SIP143m,1
10228,IN06B021,1
10584,AN06B002,1
10584,PVLP081,1
10228,IN09B045,1
10584,LoVCLo3,1
10228,GNG660,1
10228,IB117,1
10228,VES099,1
10228,AVLP164,1
10228,AVLP160,1
10228,IN06B065,1
10228,AVLP371,1
10228,AVLP154,1
10228,GNG602,1
10584,MeVP26,1
10228,IN06B059,1
10584,PVLP025,1
10584,PVLP048,1
10584,AN08B009,1
10228,WED047,1
10228,IN07B080,1
10584,PLP164,1
10228,WED061,1
10228,IN06B016,1
10228,SAD200m,1
10228,IN00A060,1
10228,IN01A063_b,1
10584,PS002,1
10228,IN01A025,1
10228,aSP10A_b,1
10584,PLP301m,1
10228,AVLP261_a,1
10584,PLP222,1
10584,PLP029,1
10584,PLP034,1
10584,PLP148,1
10228,aSP10C_b,1
10584,PLP163,1
10228,vPR6,1
10228,IN01A075,1
10584,PS188,1
10228,IN05B005,1
10584,AN05B060,1
10228,IN06A005,1
10228,IN00A064,1
10228,IN00A029,1
10228,IN05B061,1
10228,WED118,1
10228,AVLP339,1
10228,IN00A055,1
10584,PVLP004,1
10228,AVLP320_b,1
10228,IN05B032,1
