source_type,intermediate_type,descending_type,intermediate_neurons,path_instances,total_visual_to_intermediate_weight,total_intermediate_to_descending_weight
LC4,CB4101,DNg97,6,11,101,351
LC4,LT51,MDN,10,21,30,351
LPLC2,LHAD1g1,DNp01,2,2,2049,349
LC4,LHAD1g1,DNp01,2,2,555,349
LC4,SAD055,DNp02,2,4,198,349
LPLC2,CL286,DNpe045,2,4,50,348
LC4,LoVP50,DNb05,6,6,33,347
LC4,PLP093,DNp104,2,4,444,346
LPLC2,PVLP137,DNa13,2,5,784,346
LC4,PVLP137,DNa13,2,5,2275,346
LPLC2,Nod1,DNge094,4,20,45,346
LC4,LoVP26,DNpe016,7,14,48,345
LPLC2,AVLP396,DNp70,2,4,1844,344
LC4,SAD013,DNg56,2,3,301,343
LC4,LoVP92,DNpe002,5,10,20,343
LC4,PLP300m,DNg52,3,12,76,343
LPLC2,SAD013,DNg56,2,3,180,343
LC4,LPLC4,DNg82,27,47,81,341
LPLC2,CL286,DNp06,2,4,50,340
LPLC2,AVLP340,DNp55,2,2,1234,338
LPLC2,CL053,DNbe001,2,4,88,337
LPLC2,LC31a,DNp71,28,28,124,337
LC4,PVLP137,DNge053,2,4,1710,336
LC4,AN07B004,DNae003,2,4,12,336
LPLC2,PVLP137,DNge053,2,4,648,336
LC4,LPLC4,DNg79,31,52,87,334
LPLC2,WED072,DNp103,5,5,22,334
LPLC2,MeVPLp1,DNp12,2,4,12,334
LPLC2,CB4163,DNp103,6,12,1132,331
LPLC2,PVLP122,DNpe042,6,12,1944,331
LC4,PVLP122,DNpe042,6,12,9068,331
LC4,PLP208,DNbe001,2,4,16,330
LPLC2,LT51,DNb01,14,15,268,330
LC4,LoVP18,aSP22,10,20,62,329
LC4,LC31a,DNp71,27,27,60,328
LPLC2,LoVP54,DNp103,2,2,201,327
LPLC2,MeVP53,DNp04,1,1,2,327
LC4,LoVP54,DNp103,2,2,19,327
LPLC2,WED104,DNp55,2,2,83,326
LC4,LC33,DNa03,1,1,1,326
LC4,PVLP151,DNg40,4,7,2705,325
LPLC2,PVLP151,DNg40,4,7,11469,325
LC4,AN07B004,DNg05_b,2,8,24,324
LPLC2,SAD073,DNp01,1,2,44,324
LPLC2,CL213,DNpe020,2,4,90,323
LPLC2,SAD049,DNp11,2,2,40,322
LC4,LoVP26,DNpe022,7,14,48,322
LC4,SAD049,DNp11,2,2,108,322
LC4,LLPC1,DNbe001,26,26,37,321
LPLC2,LC23,DNp03,7,13,36,320
LC4,SAD053,DNp11,2,4,34,319
LC4,LLPC2,DNp31,29,29,32,318
LPLC2,LoVP26,DNp57,11,20,349,318
LPLC2,AVLP396,DNpe042,2,4,1844,317
LC4,PS306,DNg69,2,4,90,316
LPLC2,LLPC1,DNg97,41,41,65,315
LC4,CB4103,DNb01,6,6,212,314
LC4,LLPC3,DNa10,24,36,39,313
LPLC2,SAD064,DNp02,4,4,112,313
LPLC2,LPC1,DNa07,73,73,198,312
LC4,,DNa05,12,14,6757,310
LC4,PS002,DNp102,3,4,15,309
LC4,WED072,DNp06,3,3,4,309
LC4,LoVP54,DNp06,2,2,19,308
LPLC2,LoVP54,DNp06,2,2,201,308
LC4,AVLP502,DNp35,1,2,4,307
LPLC2,AVLP591,DNp103,2,2,17,307
LPLC2,CL038,DNpe042,2,4,10,307
LC4,AVLP076,DNp06,1,1,1,306
LPLC2,PVLP123,DNpe045,9,18,914,306
LPLC2,LPC2,DNp31,62,62,95,305
LC4,AN07B004,DNg91,2,4,12,305
LPLC2,PS181,DNbe004,2,4,68,305
LPLC2,LPLC4,DNp11,22,22,676,305
LC4,PVLP021,DNp55,4,8,6870,304
LC4,CB4102,DNp03,7,7,362,304
LPLC2,PVLP021,DNp55,4,8,74,304
LPLC2,LC19,DNb01,11,11,51,303
LC4,PS112,DNbe001,1,2,4,302
LC4,LoVP18,DNge107,8,14,53,301
LPLC2,AVLP490,DNpe052,3,3,11,301
LPLC2,AVLP079,DNp35,1,1,9,300
LC4,AVLP093,DNp70,2,4,8,300
LPLC2,LPT60,DNg100,2,4,42,298
LPLC2,SAD013,DNp12,2,3,315,298
LC4,LPT60,DNg100,2,4,1302,298
LPLC2,VSm,DNge097,4,6,26,298
LC4,SAD013,DNp12,2,3,293,298
LPLC2,LoVP50,DNb05,5,5,10,298
LC4,LAL053,DNa13,1,2,110,296
LPLC2,AVLP316,aSP22,3,3,125,296
LC4,AVLP259,DNp35,4,6,3467,295
LPLC2,AVLP259,DNp35,4,6,691,295
LC4,LC17,DNp35,56,56,77,294
LC4,LT51,DNa11,8,8,16,294
LPLC2,VST2,DNp20,4,4,8,293
LPLC2,LPLC1,DNa07,68,68,163,292
LC4,AVLP093,DNg40,2,2,4,292
LC4,PS306,DNg04,2,8,180,291
LC4,SAD044,DNp10,2,4,14,290
LPLC2,PLP060,DNp03,1,1,11,289
LPLC2,PVLP150,DNp09,2,2,199,289
LPLC2,CL319,DNa13,2,8,8,288
LPLC2,,DNa05,11,13,2948,288
LC4,WED166_d,pIP1,2,4,4,287
LC4,PVLP010,DNp69,2,2,2176,286
LPLC2,LC19,DNg97,11,11,51,286
LPLC2,PVLP010,DNp69,2,2,32,286
LPLC2,PLP034,DNp26,1,1,3,285
