bodyId_pre,pre_type,pre_side,bodyId_post,post_type,post_side,weight
20471,LPLC2,right,24187,LPLC2,right,13
18672,LPLC2,right,19034,LPLC2,right,13
516909,LC4,left,24523,LC4,left,13
95241,LPLC2,left,100103,LPLC2,left,13
100103,LPLC2,left,24605,LPLC2,left,13
29563,LC4,right,22847,LC4,right,13
517079,LPLC2,left,520764,LPLC2,left,13
95241,LPLC2,left,17653,LC4,left,13
20859,LC4,left,17270,LC4,left,13
40841,LPLC2,left,10228,DNp06,left,13
29183,LPLC2,right,10001,DNp01,right,13
20334,LPLC2,right,22261,LPLC2,right,13
531014,LPLC2,left,29702,LPLC2,left,13
24523,LC4,left,23202,LC4,left,13
21045,LPLC2,right,10584,DNp06,right,13
111903,LPLC2,left,12349,LC4,left,13
27399,LPLC2,left,22253,LPLC2,left,13
17364,LC4,right,19260,LC4,right,13
16128,LC4,right,17054,LC4,right,13
517819,LPLC2,left,19787,LPLC2,left,13
13726,LPLC2,left,25524,LPLC2,left,13
517819,LPLC2,left,17775,LPLC2,left,13
15018,LC4,left,514956,LC4,left,13
27471,LPLC2,right,10584,DNp06,right,13
530029,LC4,left,16809,LC4,left,13
26416,LPLC2,left,10010,DNp01,left,13
20047,LPLC2,right,23497,LPLC2,right,13
23919,LPLC2,left,10228,DNp06,left,13
28945,LC4,right,22975,LC4,right,13
17926,LC4,right,17364,LC4,right,13
517078,LPLC2,left,13132,LPLC2,left,13
26528,LPLC2,left,19787,LPLC2,left,13
100103,LPLC2,left,517078,LPLC2,left,13
27750,LC4,left,18396,LC4,left,13
515971,LPLC2,left,112292,LPLC2,left,13
20103,LPLC2,right,21808,LPLC2,right,13
21045,LPLC2,right,21862,LPLC2,right,13
24401,LPLC2,right,21562,LPLC2,right,13
20162,LPLC2,right,21045,LPLC2,right,13
20694,LPLC2,right,17551,LPLC2,right,13
18672,LPLC2,right,20103,LPLC2,right,13
20694,LPLC2,right,14465,LPLC2,right,13
77614,LC4,left,18432,LC4,left,13
23792,LC4,right,23392,LC4,right,13
17990,LPLC2,left,112292,LPLC2,left,13
26393,LPLC2,right,24187,LPLC2,right,13
17059,LPLC2,left,19830,LPLC2,left,13
20103,LPLC2,right,18672,LPLC2,right,13
19787,LPLC2,left,26528,LPLC2,left,13
17653,LC4,left,515900,LC4,left,13
31563,LPLC2,left,25854,LPLC2,left,13
21862,LPLC2,right,31964,LPLC2,right,13
21862,LPLC2,right,28044,LPLC2,right,13
21721,LC4,left,532254,LC4,left,13
19229,LPLC2,right,20103,LPLC2,right,13
19842,LPLC2,right,17054,LC4,right,13
17478,LC4,left,12824,LC4,left,13
29815,LPLC2,left,27796,LPLC2,left,13
22253,LPLC2,left,27399,LPLC2,left,13
21808,LPLC2,right,10584,DNp06,right,13
19549,LPLC2,right,19794,LC4,right,13
23392,LC4,right,10584,DNp06,right,13
31964,LPLC2,right,35889,LPLC2,right,13
19608,LPLC2,right,20535,LPLC2,right,13
19146,LPLC2,right,17551,LPLC2,right,13
21808,LPLC2,right,39620,LPLC2,right,13
22975,LC4,right,28945,LC4,right,13
23497,LPLC2,right,20047,LPLC2,right,13
519650,LC4,left,10228,DNp06,left,13
19249,LPLC2,right,10584,DNp06,right,13
12384,LPLC2,left,13132,LPLC2,left,13
22261,LPLC2,right,20334,LPLC2,right,13
29955,LPLC2,left,32737,LPLC2,left,13
29955,LPLC2,left,31105,LPLC2,left,13
29702,LPLC2,left,531014,LPLC2,left,13
518983,LC4,left,81112,LC4,left,13
18936,LPLC2,left,13726,LPLC2,left,13
12824,LC4,left,10228,DNp06,left,13
21721,LC4,left,10228,DNp06,left,13
536444,LPLC2,left,520764,LPLC2,left,13
20240,LPLC2,left,10228,DNp06,left,12
100485,LC4,left,20976,LC4,left,12
530029,LC4,left,18396,LC4,left,12
514956,LC4,left,15018,LC4,left,12
107513,LC4,left,512366,LC4,left,12
19830,LPLC2,left,10010,DNp01,left,12
15018,LC4,left,16809,LC4,left,12
20240,LPLC2,left,18936,LPLC2,left,12
17551,LPLC2,right,26147,LPLC2,right,12
22194,LC4,right,10584,DNp06,right,12
30041,LPLC2,right,10001,DNp01,right,12
23202,LC4,left,10228,DNp06,left,12
25286,LPLC2,left,512366,LC4,left,12
14102,LPLC2,left,24605,LPLC2,left,12
22557,LPLC2,left,10228,DNp06,left,12
20749,LPLC2,right,10001,DNp01,right,12
514670,LPLC2,left,13726,LPLC2,left,12
18900,LPLC2,left,18936,LPLC2,left,12
19249,LPLC2,right,19549,LPLC2,right,12
35262,LC4,left,77614,LC4,left,12
20799,LPLC2,left,19787,LPLC2,left,12
12384,LPLC2,left,14030,LPLC2,left,12
37613,LPLC2,right,24268,LPLC2,right,12
16809,LC4,left,518439,LC4,left,12
516909,LC4,left,23202,LC4,left,12
20967,LC4,left,519931,LC4,left,12
19420,LC4,right,17364,LC4,right,12
29955,LPLC2,left,41097,LPLC2,left,12
21769,LPLC2,right,19249,LPLC2,right,12
29287,LPLC2,right,10584,DNp06,right,12
25253,LPLC2,right,23878,LPLC2,right,12
20103,LPLC2,right,21769,LPLC2,right,12
17774,LPLC2,left,11498,LPLC2,left,12
18900,LPLC2,left,518731,LPLC2,left,12
21151,LC4,right,10584,DNp06,right,12
20240,LPLC2,left,17990,LPLC2,left,12
27023,LPLC2,left,129687,LPLC2,left,12
17990,LPLC2,left,515971,LPLC2,left,12
18936,LPLC2,left,95241,LPLC2,left,12
17987,LC4,right,17926,LC4,right,12
24523,LC4,left,10228,DNp06,left,12
27023,LPLC2,left,10228,DNp06,left,12
19787,LPLC2,left,517819,LPLC2,left,12
17270,LC4,left,10228,DNp06,left,12
26393,LPLC2,right,35889,LPLC2,right,12
22328,LC4,right,20588,LC4,right,12
17926,LC4,right,16128,LC4,right,12
20240,LPLC2,left,24568,LPLC2,left,12
27023,LPLC2,left,26416,LPLC2,left,12
20799,LPLC2,left,22557,LPLC2,left,12
14102,LPLC2,left,15804,LPLC2,left,12
20162,LPLC2,right,20535,LPLC2,right,12
23202,LC4,left,516909,LC4,left,12
21769,LPLC2,right,10001,DNp01,right,12
12824,LC4,left,17478,LC4,left,12
22261,LPLC2,right,28044,LPLC2,right,12
30041,LPLC2,right,28741,LPLC2,right,12
29014,LPLC2,right,23878,LPLC2,right,12
24523,LC4,left,516909,LC4,left,12
19787,LPLC2,left,25524,LPLC2,left,12
19146,LPLC2,right,20334,LPLC2,right,12
21562,LPLC2,right,24800,LPLC2,right,12
23349,LPLC2,left,515971,LPLC2,left,12
28011,LPLC2,left,520764,LPLC2,left,12
18900,LPLC2,left,17775,LPLC2,left,12
26393,LPLC2,right,24268,LPLC2,right,12
11498,LPLC2,left,10228,DNp06,left,12
20471,LPLC2,right,31964,LPLC2,right,12
17774,LPLC2,left,21361,LPLC2,left,12
14102,LPLC2,left,95241,LPLC2,left,12
31964,LPLC2,right,21862,LPLC2,right,12
19954,LC4,right,20542,LC4,right,12
13132,LPLC2,left,515971,LPLC2,left,12
29391,LPLC2,right,28871,LPLC2,right,12
29563,LC4,right,22966,LC4,right,12
13132,LPLC2,left,24605,LPLC2,left,12
20859,LC4,left,12824,LC4,left,12
38065,LC4,right,29563,LC4,right,12
23878,LPLC2,right,20269,LPLC2,right,12
515476,LC4,left,518439,LC4,left,12
17059,LPLC2,left,10010,DNp01,left,12
531014,LPLC2,left,17775,LPLC2,left,12
19608,LPLC2,right,19146,LPLC2,right,12
22966,LC4,right,29563,LC4,right,12
17653,LC4,left,520449,LC4,left,12
29563,LC4,right,38065,LC4,right,12
31563,LPLC2,left,10228,DNp06,left,12
19229,LPLC2,right,21318,LPLC2,right,12
514670,LPLC2,left,23247,LPLC2,left,12
533895,LPLC2,left,31563,LPLC2,left,12
14465,LPLC2,right,20694,LPLC2,right,12
21318,LPLC2,right,19549,LPLC2,right,12
14888,LC4,left,23202,LC4,left,12
17551,LPLC2,right,21899,LPLC2,right,12
17551,LPLC2,right,20694,LPLC2,right,12
21808,LPLC2,right,20103,LPLC2,right,12
17990,LPLC2,left,19787,LPLC2,left,12
112292,LPLC2,left,17990,LPLC2,left,12
