bodyId_pre,pre_type,pre_side,pre_nt,bodyId_post,post_type,post_side,weight,weight_normalized,edge_class
26112,LC4,right,acetylcholine,10001,DNp01,right,53,0.3081395348837209,visual_to_readout
16628,LC4,right,acetylcholine,10001,DNp01,right,53,0.3081395348837209,visual_to_readout
77614,LC4,left,acetylcholine,10010,DNp01,left,52,0.3023255813953488,visual_to_readout
18432,LC4,left,acetylcholine,10010,DNp01,left,52,0.3023255813953488,visual_to_readout
23792,LC4,right,acetylcholine,10001,DNp01,right,52,0.3023255813953488,visual_to_readout
23226,LC4,left,acetylcholine,10010,DNp01,left,52,0.3023255813953488,visual_to_readout
16138,LC4,right,acetylcholine,10001,DNp01,right,52,0.3023255813953488,visual_to_readout
21225,LC4,right,acetylcholine,10001,DNp01,right,52,0.3023255813953488,visual_to_readout
22922,LC4,left,acetylcholine,10010,DNp01,left,52,0.3023255813953488,visual_to_readout
37587,LC4,left,acetylcholine,10010,DNp01,left,51,0.29651162790697677,visual_to_readout
27624,LC4,left,acetylcholine,10010,DNp01,left,51,0.29651162790697677,visual_to_readout
111903,LPLC2,left,acetylcholine,10228,DNp06,left,51,0.29651162790697677,visual_to_readout
518730,LC4,left,acetylcholine,10010,DNp01,left,51,0.29651162790697677,visual_to_readout
28980,LC4,left,acetylcholine,10010,DNp01,left,51,0.29651162790697677,visual_to_readout
30087,LC4,left,acetylcholine,10010,DNp01,left,51,0.29651162790697677,visual_to_readout
21721,LC4,left,acetylcholine,10010,DNp01,left,51,0.29651162790697677,visual_to_readout
34845,LC4,left,acetylcholine,10010,DNp01,left,51,0.29651162790697677,visual_to_readout
533895,LPLC2,left,acetylcholine,10010,DNp01,left,50,0.29069767441860467,visual_to_readout
28980,LC4,left,acetylcholine,531898,DNp04,left,50,0.29069767441860467,visual_to_readout
13726,LPLC2,left,acetylcholine,531898,DNp04,left,50,0.29069767441860467,visual_to_readout
17860,LC4,right,acetylcholine,10001,DNp01,right,50,0.29069767441860467,visual_to_readout
19608,LPLC2,right,acetylcholine,10001,DNp01,right,49,0.28488372093023256,visual_to_readout
19543,LC4,right,acetylcholine,10001,DNp01,right,49,0.28488372093023256,visual_to_readout
20103,LPLC2,right,acetylcholine,10001,DNp01,right,48,0.27906976744186046,visual_to_readout
14030,LPLC2,left,acetylcholine,531898,DNp04,left,48,0.27906976744186046,visual_to_readout
