bodyId,type,side,population,role,predicted_nt,predicted_nt_confidence,consensus_nt,nt_evidence
23929,LC4,right,visual_input,looming_sensor,acetylcholine,0.9643892999615815,acetylcholine,predicted
24338,LC4,right,visual_input,looming_sensor,acetylcholine,0.972049567950603,acetylcholine,predicted
25584,LC4,right,visual_input,looming_sensor,acetylcholine,0.9682778328031957,acetylcholine,predicted
26112,LC4,right,visual_input,looming_sensor,acetylcholine,0.9630496469580694,acetylcholine,predicted
28945,LC4,right,visual_input,looming_sensor,acetylcholine,0.9280274184907913,acetylcholine,predicted
29563,LC4,right,visual_input,looming_sensor,acetylcholine,0.9747326673375374,acetylcholine,predicted
30480,LC4,right,visual_input,looming_sensor,acetylcholine,0.9412277882761318,acetylcholine,predicted
30803,LC4,right,visual_input,looming_sensor,acetylcholine,0.9201132097090077,acetylcholine,predicted
31262,LC4,right,visual_input,looming_sensor,acetylcholine,0.9398639186994224,acetylcholine,predicted
38065,LC4,right,visual_input,looming_sensor,acetylcholine,0.9571178561852994,acetylcholine,predicted
527408,LC4,right,visual_input,looming_sensor,acetylcholine,0.9601790157399877,acetylcholine,predicted
11498,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9719990839316764,acetylcholine,predicted
12384,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9638177385905793,acetylcholine,predicted
13132,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9622623064173241,acetylcholine,predicted
13726,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.939632215019012,acetylcholine,predicted
13764,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9597159223965809,acetylcholine,predicted
14030,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9553313439349465,acetylcholine,predicted
14102,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9594039737247122,acetylcholine,predicted
15804,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9670126567451541,acetylcholine,predicted
17059,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9545057197690786,acetylcholine,predicted
17544,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9507301245734692,acetylcholine,predicted
17774,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9456907438722101,acetylcholine,predicted
17775,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.931808503611733,acetylcholine,predicted
17880,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9645065878433379,acetylcholine,predicted
17990,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9501138157092308,acetylcholine,predicted
18900,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9504534276885411,acetylcholine,predicted
18936,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9535206501303715,acetylcholine,predicted
19787,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9388947765370255,acetylcholine,predicted
19830,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9502299826415652,acetylcholine,predicted
19911,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9445652548418033,acetylcholine,predicted
20240,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9604633783218115,acetylcholine,predicted
20329,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9469972934697559,acetylcholine,predicted
20799,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9535165024415005,acetylcholine,predicted
