bodyId,type,role,somaSide,soma_x,soma_y,soma_z,retinotopic_column_available,coordinate_type
21899,LPLC2,visual_projection,R,27042.0,21002.0,33030.0,False,soma_centroid_nm
22034,LC4,visual_projection,R,30613.0,32261.0,28654.0,False,soma_centroid_nm
22194,LC4,visual_projection,R,32127.0,33713.0,30271.0,False,soma_centroid_nm
22218,LPLC2,visual_projection,R,24352.0,19604.0,32634.0,False,soma_centroid_nm
22253,LPLC2,visual_projection,L,71862.0,17860.0,31026.0,False,soma_centroid_nm
22261,LPLC2,visual_projection,R,24876.0,20102.0,30896.0,False,soma_centroid_nm
22328,LC4,visual_projection,R,32212.0,34256.0,30121.0,False,soma_centroid_nm
22557,LPLC2,visual_projection,L,71556.0,18534.0,30450.0,False,soma_centroid_nm
22677,LPLC2,visual_projection,R,28979.0,22063.0,34867.0,False,soma_centroid_nm
22772,LC4,visual_projection,L,66860.0,32430.0,27130.0,False,soma_centroid_nm
22847,LC4,visual_projection,R,32642.0,29148.0,33668.0,False,soma_centroid_nm
22922,LC4,visual_projection,L,72358.0,28272.0,26486.0,False,soma_centroid_nm
22966,LC4,visual_projection,R,31434.0,32950.0,30336.0,False,soma_centroid_nm
22975,LC4,visual_projection,R,31649.0,33909.0,29921.0,False,soma_centroid_nm
23098,LC4,visual_projection,R,31364.0,32524.0,30135.0,False,soma_centroid_nm
23202,LC4,visual_projection,L,72701.0,27027.0,25975.0,False,soma_centroid_nm
23226,LC4,visual_projection,L,66136.0,33045.0,28764.0,False,soma_centroid_nm
23247,LPLC2,visual_projection,L,70326.0,19040.0,32606.0,False,soma_centroid_nm
23349,LPLC2,visual_projection,L,71264.0,18296.0,32646.0,False,soma_centroid_nm
23392,LC4,visual_projection,R,33088.0,31775.0,32319.0,False,soma_centroid_nm
23497,LPLC2,visual_projection,R,27288.0,19458.0,33584.0,False,soma_centroid_nm
23550,LPLC2,visual_projection,L,72298.0,17630.0,30250.0,False,soma_centroid_nm
