bodyId,type,somaSide,instance,status,LC4_weight_w1,LPLC2_weight_w1,total_visual_weight_w1,total_incoming_weight,visual_share_w1,LC4_fraction_visual_w1,LPLC2_fraction_visual_w1,LC4_presynaptic_count_w1,LPLC2_presynaptic_count_w1,direct_visual_partners_w1,ipsilateral_visual_weight_w1,contralateral_visual_weight_w1,receives_both_w1,rank_total_visual_w1,rank_visual_share_w1,rank_LC4_w1,rank_LPLC2_w1,LC4_weight_w3,LPLC2_weight_w3,total_visual_weight_w3,visual_share_w3,LC4_fraction_visual_w3,LPLC2_fraction_visual_w3,LC4_presynaptic_count_w3,LPLC2_presynaptic_count_w3,direct_visual_partners_w3,ipsilateral_visual_weight_w3,contralateral_visual_weight_w3,receives_both_w3,rank_total_visual_w3,rank_visual_share_w3,rank_LC4_w3,rank_LPLC2_w3,LC4_weight_w10,LPLC2_weight_w10,total_visual_weight_w10,visual_share_w10,LC4_fraction_visual_w10,LPLC2_fraction_visual_w10,LC4_presynaptic_count_w10,LPLC2_presynaptic_count_w10,direct_visual_partners_w10,ipsilateral_visual_weight_w10,contralateral_visual_weight_w10,receives_both_w10,rank_total_visual_w10,rank_visual_share_w10,rank_LC4_w10,rank_LPLC2_w10,total_incoming_edges,predicted_nt,predicted_nt_confidence,consensus_nt
11159,DNp71,R,DNp71(DNp09)_R,Traced,0,398,398,5779,0.06887004672088597,0.0,1.0,0,79,79,398,0,False,26,22,52,18,0,359,359,0.06212147430351272,0.0,1.0,0,52,52,359,0,False,26,24,33,18,0,161,161,0.02785949126146392,0.0,1.0,0,13,13,161,0,False,25,24,22,16,968,acetylcholine,0.9602533701981295,acetylcholine
10091,DNpe042,L,DNpe042(CL262)_L,Traced,3,276,279,15908,0.01753834548654765,0.010752688172043012,0.989247311827957,2,65,67,279,0,True,27,31,43,19,0,252,252,0.015841086245914005,0.0,1.0,0,48,48,252,0,False,27,30,33,19,0,57,57,0.0035831028413376917,0.0,1.0,0,5,5,57,0,False,27,28,22,19,2201,acetylcholine,0.9563035114571165,acetylcholine
12628,DNpe042,R,DNpe042(CL262)_R,Traced,0,246,246,17140,0.014352392065344223,0.0,1.0,0,72,72,246,0,False,28,33,52,20,0,198,198,0.011551925320886815,0.0,1.0,0,38,38,198,0,False,28,32,33,20,0,12,12,0.0007001166861143524,0.0,1.0,0,1,1,12,0,False,31,33,22,23,2281,acetylcholine,0.9503861713096572,acetylcholine
11334,DNpe045,R,DNpe045(DNp23)_R,Traced,5,190,195,7380,0.026422764227642278,0.02564102564102564,0.9743589743589743,3,60,63,195,0,True,29,28,34,21,3,145,148,0.02005420054200542,0.02027027027027027,0.9797297297297297,1,28,29,148,0,True,29,28,30,21,0,23,23,0.0031165311653116533,0.0,1.0,0,2,2,23,0,False,29,29,22,21,1335,acetylcholine,0.9567667316880828,acetylcholine
11573,DNpe021,L,DNpe021(CL307)_L,Traced,166,0,166,5797,0.028635501121269624,1.0,0.0,55,0,55,166,0,False,30,27,20,50,125,0,125,0.021562877350353633,1.0,0.0,26,0,26,125,0,False,30,27,20,40,10,0,10,0.0017250301880282904,1.0,0.0,1,0,1,10,0,False,32,32,21,25,1370,acetylcholine,0.9602079069685033,acetylcholine
10931,DNpe045,L,DNpe045(DNp23)_L,Traced,7,132,139,7994,0.01738804103077308,0.050359712230215826,0.9496402877697842,6,45,51,139,0,True,31,32,32,22,0,94,94,0.011758819114335751,0.0,1.0,0,18,18,94,0,False,31,31,33,22,0,21,21,0.002626970227670753,0.0,1.0,0,2,2,21,0,False,30,30,22,22,1368,acetylcholine,0.9581116723527302,acetylcholine
10590,DNpe052,L,DNpe052(AVLP564)_L,Traced,0,114,114,4452,0.025606469002695417,0.0,1.0,0,49,49,114,0,False,32,29,52,23,0,74,74,0.016621743036837375,0.0,1.0,0,16,16,74,0,False,33,29,33,24,0,10,10,0.0022461814914645105,0.0,1.0,0,1,1,10,0,False,32,31,22,24,1114,acetylcholine,0.9558673849112944,acetylcholine
575082,DNpe021,R,DNpe021_R,Traced,61,51,112,5839,0.019181366672375407,0.5446428571428571,0.45535714285714285,29,22,51,112,0,True,33,30,24,29,27,33,60,0.010275732145915397,0.45,0.55,6,9,15,60,0,True,35,33,24,27,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1336,acetylcholine,0.9643948601197233,acetylcholine
10244,DNp55,L,DNp55(WED180)_L,Traced,2,105,107,9125,0.011726027397260273,0.018691588785046728,0.9813084112149533,1,41,42,107,0,True,34,35,45,24,0,71,71,0.0077808219178082194,0.0,1.0,0,18,18,71,0,False,34,35,33,25,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1310,acetylcholine,0.9030786062821096,acetylcholine
10783,DNp09,L,DNp09_L,Traced,0,104,104,8640,0.012037037037037037,0.0,1.0,0,25,25,104,0,False,35,34,52,25,0,87,87,0.010069444444444445,0.0,1.0,0,14,14,87,0,False,32,34,33,23,0,36,36,0.004166666666666667,0.0,1.0,0,3,3,36,0,False,28,27,22,20,1177,acetylcholine,0.9534627156106811,acetylcholine
11133,DNp70,R,DNp70(CL305)_R,Traced,3,68,71,11695,0.006070970500213766,0.04225352112676056,0.9577464788732394,3,29,32,70,1,True,36,38,43,26,0,44,44,0.003762291577597264,0.0,1.0,0,10,10,44,0,False,36,37,33,26,0,0,0,0.0,0.0,0.0,0,0,0,0,0,False,34,34,22,25,1942,acetylcholine,0.9351963996485984,acetylcholine
