pre_bodyId,pre_type,pre_side,post_bodyId,post_type,post_side,weight,source_population,target_population,is_ipsilateral,survives_w3,survives_w10
20399,LC4,R,11137,DNp04,R,71,LC4,DNp04,True,True,True
22966,LC4,R,11137,DNp04,R,71,LC4,DNp04,True,True,True
17668,LC4,R,10117,DNp02,R,70,LC4,DNp02,True,True,True
18396,LC4,L,10259,DNp11,L,70,LC4,DNp11,True,True,True
32597,LC4,L,10010,DNp01,L,69,LC4,DNp01,True,True,True
533129,LC4,L,10010,DNp01,L,69,LC4,DNp01,True,True,True
533129,LC4,L,531898,DNp04,L,69,LC4,DNp04,True,True,True
22922,LC4,L,531898,DNp04,L,68,LC4,DNp04,True,True,True
22847,LC4,R,10001,DNp01,R,67,LC4,DNp01,True,True,True
28945,LC4,R,10106,DNp11,R,67,LC4,DNp11,True,True,True
20967,LC4,L,10197,DNp02,L,67,LC4,DNp02,True,True,True
27624,LC4,L,10259,DNp11,L,67,LC4,DNp11,True,True,True
16138,LC4,R,11137,DNp04,R,67,LC4,DNp04,True,True,True
17266,LC4,R,11137,DNp04,R,67,LC4,DNp04,True,True,True
21151,LC4,R,11137,DNp04,R,67,LC4,DNp04,True,True,True
20976,LC4,L,531898,DNp04,L,67,LC4,DNp04,True,True,True
16917,LC4,L,531898,DNp04,L,66,LC4,DNp04,True,True,True
31308,LC4,L,531898,DNp04,L,66,LC4,DNp04,True,True,True
16128,LC4,R,10001,DNp01,R,65,LC4,DNp01,True,True,True
512366,LC4,L,10010,DNp01,L,65,LC4,DNp01,True,True,True
27829,LC4,L,10010,DNp01,L,64,LC4,DNp01,True,True,True
31563,LPLC2,L,10010,DNp01,L,64,LPLC2,DNp01,True,True,True
515476,LC4,L,10010,DNp01,L,64,LC4,DNp01,True,True,True
524899,LC4,L,10010,DNp01,L,64,LC4,DNp01,True,True,True
22328,LC4,R,11137,DNp04,R,64,LC4,DNp04,True,True,True
28945,LC4,R,11137,DNp04,R,64,LC4,DNp04,True,True,True
17668,LC4,R,10001,DNp01,R,63,LC4,DNp01,True,True,True
24338,LC4,R,10001,DNp01,R,63,LC4,DNp01,True,True,True
17270,LC4,L,10010,DNp01,L,63,LC4,DNp01,True,True,True
17548,LC4,R,10117,DNp02,R,63,LC4,DNp02,True,True,True
29514,LC4,L,10259,DNp11,L,63,LC4,DNp11,True,True,True
20016,LC4,R,11137,DNp04,R,63,LC4,DNp04,True,True,True
23392,LC4,R,11137,DNp04,R,63,LC4,DNp04,True,True,True
35616,LC4,L,531898,DNp04,L,63,LC4,DNp04,True,True,True
20399,LC4,R,10001,DNp01,R,62,LC4,DNp01,True,True,True
12032,LC4,L,10010,DNp01,L,62,LC4,DNp01,True,True,True
12349,LC4,L,10010,DNp01,L,62,LC4,DNp01,True,True,True
16917,LC4,L,10010,DNp01,L,62,LC4,DNp01,True,True,True
22772,LC4,L,10010,DNp01,L,62,LC4,DNp01,True,True,True
530029,LC4,L,10010,DNp01,L,62,LC4,DNp01,True,True,True
17364,LC4,R,10117,DNp02,R,62,LC4,DNp02,True,True,True
18127,LC4,R,10117,DNp02,R,62,LC4,DNp02,True,True,True
19420,LC4,R,11137,DNp04,R,62,LC4,DNp04,True,True,True
38065,LC4,R,11137,DNp04,R,62,LC4,DNp04,True,True,True
22966,LC4,R,10001,DNp01,R,61,LC4,DNp01,True,True,True
31301,LC4,L,10010,DNp01,L,61,LC4,DNp01,True,True,True
35616,LC4,L,10010,DNp01,L,61,LC4,DNp01,True,True,True
12824,LC4,L,10197,DNp02,L,61,LC4,DNp02,True,True,True
17668,LC4,R,11137,DNp04,R,61,LC4,DNp04,True,True,True
20673,LC4,R,11137,DNp04,R,61,LC4,DNp04,True,True,True
22253,LPLC2,L,10010,DNp01,L,60,LPLC2,DNp01,True,True,True
514956,LC4,L,10010,DNp01,L,60,LC4,DNp01,True,True,True
38065,LC4,R,10106,DNp11,R,60,LC4,DNp11,True,True,True
20182,LPLC2,R,10001,DNp01,R,59,LPLC2,DNp01,True,True,True
22194,LC4,R,10001,DNp01,R,59,LC4,DNp01,True,True,True
18396,LC4,L,10010,DNp01,L,59,LC4,DNp01,True,True,True
27750,LC4,L,10010,DNp01,L,59,LC4,DNp01,True,True,True
20572,LC4,L,10197,DNp02,L,59,LC4,DNp02,True,True,True
22975,LC4,R,10001,DNp01,R,58,LC4,DNp01,True,True,True
12824,LC4,L,10010,DNp01,L,58,LC4,DNp01,True,True,True
18478,LC4,L,10010,DNp01,L,58,LC4,DNp01,True,True,True
29514,LC4,L,10010,DNp01,L,58,LC4,DNp01,True,True,True
100485,LC4,L,10010,DNp01,L,58,LC4,DNp01,True,True,True
22975,LC4,R,10106,DNp11,R,58,LC4,DNp11,True,True,True
32597,LC4,L,10259,DNp11,L,58,LC4,DNp11,True,True,True
21165,LC4,R,11137,DNp04,R,58,LC4,DNp04,True,True,True
23226,LC4,L,531898,DNp04,L,58,LC4,DNp04,True,True,True
18127,LC4,R,10001,DNp01,R,57,LC4,DNp01,True,True,True
30803,LC4,R,10001,DNp01,R,57,LC4,DNp01,True,True,True
20976,LC4,L,10010,DNp01,L,57,LC4,DNp01,True,True,True
16128,LC4,R,10117,DNp02,R,57,LC4,DNp02,True,True,True
21336,LC4,R,10117,DNp02,R,57,LC4,DNp02,True,True,True
530029,LC4,L,10259,DNp11,L,57,LC4,DNp11,True,True,True
532254,LC4,L,10259,DNp11,L,57,LC4,DNp11,True,True,True
24187,LPLC2,R,10923,DNg40,R,57,LPLC2,DNg40,True,True,True
519650,LC4,L,531898,DNp04,L,57,LC4,DNp04,True,True,True
19634,LC4,R,10001,DNp01,R,56,LC4,DNp01,True,True,True
23392,LC4,R,10001,DNp01,R,56,LC4,DNp01,True,True,True
