intermediate_bodyId,intermediate_type,intermediate_side,LC4_input_weight,LPLC2_input_weight,total_visual_input_weight,total_incoming_weight,visual_input_share,output_weight_to_candidate_dns,num_downstream_candidate_dns,path_score_product,min_path_capacity,predicted_nt,predicted_nt_confidence,survives_w3,survives_w10
23030,LPLC1,R,3,5,8,,,59,5,472,8,acetylcholine,0.948097433966533,True,False
136628,CB1638,L,5,0,5,,,94,10,470,5,acetylcholine,0.9527989333900531,True,False
21355,MeLo13,R,70,47,117,,,4,1,468,4,glutamate,0.7181591397441881,True,False
24202,PVLP148,R,0,36,36,,,13,2,468,13,acetylcholine,0.9701047898189236,True,True
26880,LPLC1,R,3,2,5,,,93,6,465,5,acetylcholine,0.9483368461390811,True,False
12966,LoVC13,L,8,0,8,,,58,5,464,8,gaba,0.8262917767035606,True,False
533457,LoVP50,L,6,0,6,,,77,5,462,6,acetylcholine,0.9634213517135387,True,False
153019,LC31a,L,2,2,4,,,115,12,460,4,acetylcholine,0.9691163481654756,True,False
18710,LPLC1,R,3,1,4,,,115,6,460,4,acetylcholine,0.9615799595105311,True,False
11526,PVLP114,R,0,46,46,,,10,4,460,10,acetylcholine,0.9288724373839992,True,True
15160,PVLP070,L,0,27,27,,,17,4,459,17,acetylcholine,0.963120547873432,True,True
22274,LPLC1,R,2,2,4,,,113,7,452,4,acetylcholine,0.9380533690762108,True,False
10910,PPM1203,L,6,3,9,,,50,20,450,9,dopamine,0.7157639837449061,True,False
11154,WED189,M,5,0,5,,,90,10,450,5,gaba,0.8595747710169612,True,False
12191,AVLP577,L,0,7,7,,,64,8,448,7,acetylcholine,0.9572431704363986,True,False
15116,MeVP18,R,0,4,4,,,112,17,448,4,glutamate,0.6940965559096938,True,False
18133,AVLP040,R,0,3,3,,,149,16,447,3,acetylcholine,0.9329125640890118,True,False
11448,OCG06,R,5,0,5,,,89,15,445,5,acetylcholine,0.8840489094385483,True,False
512484,LC31a,L,1,1,2,2046.0,0.0009775171065493646,222,13,444,2,acetylcholine,0.9335377735054557,False,False
17584,PVLP123,L,0,1,1,2488.0,0.00040192926045016077,444,22,444,1,acetylcholine,0.9502720604657882,False,False
29581,PLP150,R,17,0,17,,,26,6,442,17,acetylcholine,0.892903287067766,True,True
15292,SAD044,R,3,0,3,,,147,12,441,3,acetylcholine,0.9630206124609183,True,False
951387507,UNKNOWN,UNKNOWN,40,0,40,,,11,5,440,11,unclear,0.9747326673375373,True,True
21540,LPLC1,R,2,3,5,,,88,5,440,5,acetylcholine,0.9479971844622227,True,False
29529,LPLC1,R,2,4,6,,,73,6,438,6,acetylcholine,0.9356599246323435,True,False
13180,LPLC1,L,1,4,5,,,87,7,435,5,acetylcholine,0.9541397759426982,True,False
521323,AVLP490,L,1,2,3,3025.0,0.0009917355371900827,145,7,435,3,gaba,0.8384629164453828,True,False
531862,LT41,L,14,1,15,,,29,4,435,15,gaba,0.843216411676898,True,True
519420,WED107,R,8,0,8,,,54,11,432,8,acetylcholine,0.9693143340900267,True,False
15638,AVLP490,L,0,4,4,,,108,5,432,4,gaba,0.8547529272126067,True,False
17426,PVLP123,R,0,1,1,2200.0,0.00045454545454545455,428,21,428,1,acetylcholine,0.9548412916843606,False,False
24177,LPLC1,R,1,3,4,,,107,6,428,4,acetylcholine,0.9385217181269655,True,False
14119,AN09B023,R,3,0,3,,,142,8,426,3,acetylcholine,0.9511758005072264,True,False
19468,PVLP025,R,7,10,17,,,25,2,425,17,gaba,0.8559019165141002,True,True
512821,CB4248,L,7,0,7,,,60,10,420,7,gaba,0.8500977322166245,True,False
